#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ahuachapán,SV01,,,,El Salvador,SV,2020-05-29,2021-02-08,
Cabañas,SV02,,,,El Salvador,SV,2020-05-29,2021-02-08,
Chalatenango,SV03,,,,El Salvador,SV,2020-05-29,2021-02-08,
Cuscatlán,SV04,,,,El Salvador,SV,2020-05-29,2021-02-08,
La Libertad,SV05,,,,El Salvador,SV,2020-05-29,2021-02-08,
La Paz,SV06,,,,El Salvador,SV,2020-05-29,2021-02-08,
La Unión,SV07,,,,El Salvador,SV,2020-05-29,2021-02-08,
Morazán,SV08,,,,El Salvador,SV,2020-05-29,2021-02-08,
San Miguel,SV09,,,,El Salvador,SV,2020-05-29,2021-02-08,
San Salvador,SV10,,,,El Salvador,SV,2020-05-29,2021-02-08,
San Vicente,SV11,,,,El Salvador,SV,2020-05-29,2021-02-08,
Santa Ana,SV12,,,,El Salvador,SV,2020-05-29,2021-02-08,
Sonsonate,SV13,,,,El Salvador,SV,2020-05-29,2021-02-08,
Usulután,SV14,,,,El Salvador,SV,2020-05-29,2021-02-08,
