#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ar,#adm1+name+alt2+i_ar,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Al-Anbar,الانبار,IQG01,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Basrah,البصرة,IQG02,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Muthanna,المثنى,IQG03,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Najaf,النجف,IQG04,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Qadissiya,القادسية,IQG05,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Sulaymaniyah,السليمانية,IQG06,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Babil,بابل,IQG07,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Baghdad,بغداد,IQG08,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Duhok,دهوك,IQG09,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Diyala,ديالى,IQG10,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Erbil,اربيل,IQG11,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kerbala,كربلاء,IQG12,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kirkuk,كركوك,IQG13,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Maysan,ميسان,IQG14,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Ninewa,نينوى,IQG15,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Salah Al-Din,صلاح الدين,IQG16,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Thi Qar,ذي قار,IQG17,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Wassit,واسط,IQG18,,,,,,Iraq,العراق,IQ,2019-06-05,2021-02-11,
