admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
#adm1+name+i_fr,#adm1+code+pcode,,#adm1+name+i_fr,#adm1+name+i_fr,#adm0+name+i_fr,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Centre,BF13,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Boucle du Mouhoun,BF46,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Cascades,BF47,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Centre-Est,BF48,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Centre-Nord,BF49,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Centre-Ouest,BF50,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Centre-Sud,BF51,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Est,BF52,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Hauts-Bassins,BF53,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Nord,BF54,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Plateau-Central,BF55,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Sahel,BF56,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
Sud-Ouest,BF57,,,,Burkina Faso,BF,2020-03-18,2020-03-23,
