#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Dakar,SN0101,,,,Dakar,SN01,Senegal,SN,2017-08-04,2019-04-26,
Guediawaye,SN0102,,,,Dakar,SN01,Senegal,SN,2017-08-04,2019-04-26,
Pikine,SN0103,,,,Dakar,SN01,Senegal,SN,2017-08-04,2019-04-26,
Rufisque,SN0104,,,,Dakar,SN01,Senegal,SN,2017-08-04,2019-04-26,
Bambey,SN0201,,,,Diourbel,SN02,Senegal,SN,2017-08-04,2019-04-26,
Diourbel,SN0202,,,,Diourbel,SN02,Senegal,SN,2017-08-04,2019-04-26,
Mbacke,SN0203,,,,Diourbel,SN02,Senegal,SN,2017-08-04,2019-04-26,
Fatick,SN0301,,,,Fatick,SN03,Senegal,SN,2017-08-04,2019-04-26,
Foundiougne,SN0302,,,,Fatick,SN03,Senegal,SN,2017-08-04,2019-04-26,
Gossas,SN0303,,,,Fatick,SN03,Senegal,SN,2017-08-04,2019-04-26,
Birkelane,SN0401,,,,Kaffrine,SN04,Senegal,SN,2017-08-04,2019-04-26,
Kaffrine,SN0402,,,,Kaffrine,SN04,Senegal,SN,2017-08-04,2019-04-26,
Koungheul,SN0403,,,,Kaffrine,SN04,Senegal,SN,2017-08-04,2019-04-26,
Malem Hodar,SN0404,,,,Kaffrine,SN04,Senegal,SN,2017-08-04,2019-04-26,
Guinguineo,SN0501,,,,Kaolack,SN05,Senegal,SN,2017-08-04,2019-04-26,
Kaolack,SN0502,,,,Kaolack,SN05,Senegal,SN,2017-08-04,2019-04-26,
Nioro Du Rip,SN0503,,,,Kaolack,SN05,Senegal,SN,2017-08-04,2019-04-26,
Kedougou,SN0601,,,,Kedougou,SN06,Senegal,SN,2017-08-04,2019-04-26,
Salemata,SN0602,,,,Kedougou,SN06,Senegal,SN,2017-08-04,2019-04-26,
Saraya,SN0603,,,,Kedougou,SN06,Senegal,SN,2017-08-04,2019-04-26,
Kolda,SN0701,,,,Kolda,SN07,Senegal,SN,2017-08-04,2019-04-26,
Medina Yoroufoula,SN0702,,,,Kolda,SN07,Senegal,SN,2017-08-04,2019-04-26,
Velingara,SN0703,,,,Kolda,SN07,Senegal,SN,2017-08-04,2019-04-26,
Kebemer,SN0801,,,,Louga,SN08,Senegal,SN,2017-08-04,2019-04-26,
Linguere,SN0802,,,,Louga,SN08,Senegal,SN,2017-08-04,2019-04-26,
Louga,SN0803,,,,Louga,SN08,Senegal,SN,2017-08-04,2019-04-26,
Kanel,SN0901,,,,Matam,SN09,Senegal,SN,2017-08-04,2019-04-26,
Matam,SN0902,,,,Matam,SN09,Senegal,SN,2017-08-04,2019-04-26,
Ranerou,SN0903,,,,Matam,SN09,Senegal,SN,2017-08-04,2019-04-26,
Dagana,SN1001,,,,Saint Louis,SN10,Senegal,SN,2017-08-04,2019-04-26,
Podor,SN1002,,,,Saint Louis,SN10,Senegal,SN,2017-08-04,2019-04-26,
Saint Louis,SN1003,,,,Saint Louis,SN10,Senegal,SN,2017-08-04,2019-04-26,
Bounkiling,SN1101,,,,Sedhiou,SN11,Senegal,SN,2017-08-04,2019-04-26,
Goudomp,SN1102,,,,Sedhiou,SN11,Senegal,SN,2017-08-04,2019-04-26,
Sedhiou,SN1103,,,,Sedhiou,SN11,Senegal,SN,2017-08-04,2019-04-26,
Bakel,SN1201,,,,Tambacounda,SN12,Senegal,SN,2017-08-04,2019-04-26,
Goudiry,SN1202,,,,Tambacounda,SN12,Senegal,SN,2017-08-04,2019-04-26,
Koumpentoum,SN1203,,,,Tambacounda,SN12,Senegal,SN,2017-08-04,2019-04-26,
Tambacounda,SN1204,,,,Tambacounda,SN12,Senegal,SN,2017-08-04,2019-04-26,
Mbour,SN1301,,,,Thies,SN13,Senegal,SN,2017-08-04,2019-04-26,
Thies,SN1302,,,,Thies,SN13,Senegal,SN,2017-08-04,2019-04-26,
Tivaoune,SN1303,,,,Thies,SN13,Senegal,SN,2017-08-04,2019-04-26,
Bignona,SN1401,,,,Ziguinchor,SN14,Senegal,SN,2017-08-04,2019-04-26,
Oussouye,SN1402,,,,Ziguinchor,SN14,Senegal,SN,2017-08-04,2019-04-26,
Ziguinchor,SN1403,,,,Ziguinchor,SN14,Senegal,SN,2017-08-04,2019-04-26,
