admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
#adm2+name+i_fr,#adm2+code+pcode,,#adm2+name+i_fr,#adm2+name+i_fr,#adm1+name+i_fr,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_fr,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Lokossa,BJ0906,,,,Mono,BJ09,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Malanville,BJ0105,,,,Alibori,BJ01,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Materi,BJ0205,,,,Atacora,BJ02,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
N'Dali,BJ0403,NDali,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Natitingou,BJ0206,,,,Atacora,BJ02,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Nikki,BJ0404,,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Ouake,BJ0704,,,,Donga,BJ07,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Ouesse,BJ0504,,,,Collines,BJ05,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Ouidah,BJ0304,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Ouinhi,BJ1206,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Parakou,BJ0405,,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Pehunco,BJ0207,,,,Atacora,BJ02,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Perere,BJ0406,,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Pobe,BJ1104,,,,Plateau,BJ11,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Porto-Novo,BJ1008,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Sakete,BJ1105,,,,Plateau,BJ11,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Savalou,BJ0505,,,,Collines,BJ05,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Save,BJ0506,,,,Collines,BJ05,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Segbana,BJ0106,,,,Alibori,BJ01,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Seme-Kpodji,BJ1009,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Sinende,BJ0407,,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
So-Ava,BJ0305,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Tanguieta,BJ0208,,,,Atacora,BJ02,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Tchaourou,BJ0408,,,,Borgou,BJ04,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Toffo,BJ0306,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Tori-Bossito,BJ0307,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Toucountouna,BJ0209,,,,Atacora,BJ02,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Toviklin,BJ0606,,,,Couffo,BJ06,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Za-Kpota,BJ1207,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Zagnanado,BJ1208,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Ze,BJ0308,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
Zogbodomey,BJ1209,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,
