#adm3+name+i_es,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_es,#adm3+name+alt2+i_es,#adm2+name+i_es,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bastimentos,PA010101,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Bocas del Toro,PA010102,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Cauchero,PA010103,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Punta Laurel,PA010104,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Tierra Oscura,PA010105,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Almirante,PA010201,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Changuinola,PA010202,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Guabito,PA010203,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Teribe,PA010204,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Valle del Risco,PA010205,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Chiriquí Grande,PA010301,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Miramar,PA010302,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Punta Peña,PA010303,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Punta Robalo,PA010304,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Rambala,PA010305,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Alanje,PA020101,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Divalá,PA020102,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Tejar,PA020103,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Guarumal,PA020104,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Palo Grande,PA020105,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Querévalo,PA020106,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santo Tomás,PA020107,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Baco,PA020201,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Limones,PA020202,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Progreso,PA020203,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Puerto Armuelles,PA020204,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Rodolfo Aguilar Delgado,PA020205,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bágala,PA020301,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Boquerón,PA020302,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Cordillera,PA020303,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Guabal,PA020304,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Guayabal,PA020305,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Paraíso,PA020306,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Pedregal,PA020307,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Tijeras,PA020308,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Alto Boquete,PA020401,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bajo Boquete,PA020402,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Caldera,PA020403,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Jaramillo,PA020404,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Los Naranjos,PA020405,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Palmira,PA020406,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Aserrío de Gariché,PA020501,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bugaba,PA020502,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Cerro Punta,PA020503,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Bongo,PA020504,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Gómez,PA020505,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
La Concepción,PA020506,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
La Estrella,PA020507,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
