#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Khyber Pakhtunkhwa,PK2,,,,Pakistan,PK,2018-11-30,2018-12-18,
Federal Capital Territory,PK5,,,,Pakistan,PK,2018-11-30,2018-12-18,
Punjab,PK6,,,,Pakistan,PK,2018-11-30,2018-12-18,
Balochistan,PK7,,,,Pakistan,PK,2018-11-30,2018-12-18,
Sindh,PK8,,,,Pakistan,PK,2018-11-30,2018-12-18,
