#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Waghina,SB0101010101,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Katupika,SB0101010102,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Vasiduki,SB0101010103,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Viviru,SB0101010104,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Babatana,SB0101010105,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Tepakaza,SB0101020106,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Batava,SB0101020107,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Tavula,SB0101020108,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Polo,SB0101020109,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Bangara,SB0101020110,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Susuka,SB0101030111,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Senga,SB0101030112,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Kerepangara,SB0101030113,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Kirugela,SB0101030114,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2018-11-01,
Outer Shortlands,SB0202040201,,,,Shortland Islands,SB020204,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Inner Shortlands,SB0202040202,,,,Shortland Islands,SB020204,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Dovele,SB0202050209,,,,North Vella la Vella,SB020205,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Iringgila,SB0202050210,,,,North Vella la Vella,SB020205,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Vonunu,SB0202060207,,,,South Vella la Vella,SB020206,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Simbo,SB0202070203,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
North Ranongga,SB0202070204,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Central Ranongga,SB0202070205,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
South Ranongga,SB0202070206,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Gizo,SB0202080211,,,,Gizo-Kolombangara,SB020208,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
South Kolombangara,SB0202080212,,,,Gizo-Kolombangara,SB020208,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
North Kolombangara,SB0202080226,,,,Gizo-Kolombangara,SB020208,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Vonavona,SB0202090213,,,,West New Georgia-Vonavona,SB020209,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Munda,SB0202090215,,,,West New Georgia-Vonavona,SB020209,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Nusa Roviana,SB0202090216,,,,West New Georgia-Vonavona,SB020209,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Noro,SB0202090225,,,,West New Georgia-Vonavona,SB020209,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Kusaghe,SB0202100214,,,,North New Georgia,SB020210,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Kolombaghea,SB0202100220,,,,North New Georgia,SB020210,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Bilua,SB0202110208,,,,South New Georgia-Rendova,SB020211,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
Roviana Lagoon,SB0202110217,,,,South New Georgia-Rendova,SB020211,Western,SB02,Solomon Islands,SB,2018-01-12,2018-11-01,
