#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Di,BF460601,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Gomboro,BF460602,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kassoum,BF460603,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kiembara,BF460604,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Lanfièra,BF460605,Lanfiera,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Lankoué,BF460606,Lankoue,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Toéni,BF460607,Toeni,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Tougan,BF460608,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Banfora,BF470101,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Bérégadougou,BF470102,Beregadougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Mangodara,BF470103,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Moussodougou,BF470104,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Niangoloko,BF470105,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouô,BF470106,Ouo,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Sidéradougou,BF470107,Sideradougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Soubakaniédougou,BF470108,Soubakaniedougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Tiéfora,BF470109,Tiefora,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Dakôrô,BF470201,Dakoro,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Douna,BF470202,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Kankalaba,BF470203,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Loumana,BF470204,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Niankôrôdougou,BF470205,Niankorodougou,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouéléni,BF470206,Oueleni,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Sindou,BF470207,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Wolonkoto,BF470208,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Bagré,BF480101,Bagre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Bané,BF480102,Bane,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Béguédo,BF480103,Beguedo,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Bissiga,BF480104,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Bitou,BF480105,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Boussouma,BF480106,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Garango,BF480107,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Komtoèga,BF480108,Komtoega,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Niaogho,BF480109,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Tenkodogo,BF480110,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Zabré,BF480111,Zabre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Zoaga,BF480112,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Zonsé,BF480113,Zonse,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Komin-Yanga,BF480201,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Dourtenga,BF480202,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Lalgaye,BF480203,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouargaye,BF480204,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Sangha,BF480205,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Soudougui,BF480206,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Yargatenga,BF480207,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Yondé,BF480208,Yonde,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Andemtenga,BF480301,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Baskouré,BF480302,Baskoure,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Dialgaye,BF480303,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Gounguen,BF480304,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Kando,BF480305,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Koupèla,BF480306,Koupela,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Pouytenga,BF480307,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Tensobentenga,BF480308,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Yargo,BF480309,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Bourzanga,BF490101,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Guibaré,BF490102,Guibare,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Kongoussi,BF490103,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Nasséré,BF490104,Nassere,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Rollo,BF490105,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Roukô,BF490106,Rouko,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Sabsé,BF490107,Sabse,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Tikaré,BF490108,Tikare,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Zimtanga,BF490109,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Boala,BF490201,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Boulsa,BF490202,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Bouroum,BF490203,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Dargo,BF490204,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Nagbingou,BF490205,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Tougouri,BF490206,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
