#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Matzikama,ZA1011,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Cederberg,ZA1012,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Bergrivier,ZA1013,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Saldanha Bay,ZA1014,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Swartland,ZA1015,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Witzenberg,ZA1022,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Drakenstein,ZA1023,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Stellenbosch,ZA1024,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Breede Valley,ZA1025,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Langeberg,ZA1026,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Theewaterskloof,ZA1031,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Overstrand,ZA1032,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Cape Agulhas,ZA1033,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Swellendam,ZA1034,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Kannaland,ZA1041,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Hessequa,ZA1042,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Mossel Bay,ZA1043,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
George,ZA1044,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Oudtshoorn,ZA1045,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Bitou,ZA1047,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Knysna,ZA1048,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Laingsburg,ZA1051,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Prince Albert,ZA1052,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Beaufort West,ZA1053,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
City of Cape Town,ZA1910,,,,City of Cape Town,ZA191,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Dr Beyers Naude,ZA2101,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Blue Crane Route,ZA2102,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Makana,ZA2104,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Ndlambe,ZA2105,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Sundays River Valley,ZA2106,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Kouga,ZA2108,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Kou-Kamma,ZA2109,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Mbhashe,ZA2121,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Mnquma,ZA2122,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Great Kei,ZA2123,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Amahlathi,ZA2124,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Ngqushwa,ZA2126,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Raymond Mhlaba,ZA2129,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Inxuba Yethemba,ZA2131,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Intsika Yethu,ZA2135,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Emalahleni,ZA2136,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Engcobo,ZA2137,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Sakhisizwe,ZA2138,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Enoch Mgijima,ZA2139,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Elundini,ZA2141,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Senqu,ZA2142,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Walter Sisulu,ZA2145,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Ngquza Hill,ZA2153,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Port St Johns,ZA2154,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Nyandeni,ZA2155,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Mhlontlo,ZA2156,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
King Sabata Dalindyebo,ZA2157,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Matatiele,ZA2441,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Umzimvubu,ZA2442,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Mbizana,ZA2443,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Ntabankulu,ZA2444,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Buffalo City,ZA2920,,,,Buffalo City,ZA292,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Nelson Mandela Bay,ZA2930,,,,Nelson Mandela Bay,ZA293,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Richtersveld,ZA3061,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Nama Khoi,ZA3062,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Kamiesberg,ZA3064,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Hantam,ZA3065,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Karoo Hoogland,ZA3066,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Khâi-Ma,ZA3067,Khai-Ma,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Ubuntu,ZA3071,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Umsobomvu,ZA3072,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Emthanjeni,ZA3073,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Kareeberg,ZA3074,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Renosterberg,ZA3075,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Thembelihle,ZA3076,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Siyathemba,ZA3077,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Siyancuma,ZA3078,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Kai Garib,ZA3082,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Kheis,ZA3084,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Tsantsabane,ZA3085,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Kgatelopele,ZA3086,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Dawid Kruiper,ZA3087,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Sol Plaatjie,ZA3091,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Dikgatlong,ZA3092,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Magareng,ZA3093,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Phokwane,ZA3094,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Joe Morolong,ZA3451,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Ga-Segonyana,ZA3452,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Gamagara,ZA3453,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Letsemeng,ZA4161,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Kopanong,ZA4162,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Mohokare,ZA4163,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Masilonyana,ZA4181,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Tokologo,ZA4182,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Tswelopele,ZA4183,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Matjhabeng,ZA4184,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Nala,ZA4185,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Setsoto,ZA4191,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Dihlabeng,ZA4192,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Nketoana,ZA4193,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Maluti a Phofung,ZA4194,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
