#adm3+name+i_en,#adm3+name+i_fr,#adm3+name+i_ht,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm3+name+alt1+i_ht,#adm3+name+alt2+i_ht,#adm2+name+i_en,#adm2+name+i_fr,#adm2+name+i_ht,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_fr,#adm1+name+i_ht,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fr,#country+name+i_ht,#country+code+v_iso2,#date+start,#date+updated,#date+end
1re Section Turgeau,1re Section Turgeau,,HT0111-01,,,,,,,,Port-au-Prince,Port-au-Prince,,HT0111,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Morne l'Hopital,2e Section Morne l'Hopital,,HT0111-02,2e Section Morne lHopital,,,,,,,Port-au-Prince,Port-au-Prince,,HT0111,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Martissant,3e Section Martissant,,HT0111-03,,,,,,,,Port-au-Prince,Port-au-Prince,,HT0111,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section St Martin,1re Section St Martin,,HT0112-01,,,,,,,,Delmas,Delmas,,HT0112,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Morne Chandelle,1re Section Morne Chandelle,,HT0113-01,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Platon Dufrene,2e Section Platon Dufrene,,HT0113-02,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Taifer,3e Section Taïfer,,HT0113-03,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Procy,4e Section Procy,,HT0113-04,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Coupeau,5e Section Coupeau,,HT0113-05,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Bouvier,6e Section Bouvier,,HT0113-06,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section Lavalle,7e Section Lavalle,,HT0113-07,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
8e Section Berly,8e Section Berly,,HT0113-08,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
9e Section Bizoton,9e Section Bizoton,,HT0113-09,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
10e Section Thor,10e Section Thor,,HT0113-10,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
11e Section Riviere Froide,11e Section Rivière Froide,,HT0113-11,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
12e Section Malanga,12e Section Malanga,,HT0113-12,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
13e Section Corail Thor,13e Section Corail Thor,,HT0113-13,,,,,,,,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Montagne Noire,1re Section Montagne Noire,,HT0114-01,,,,,,,,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Aux Cadets,2e Section Aux Cadets,,HT0114-02,,,,,,,,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Etang du Jonc,3e Section Etang du Jonc,,HT0114-03,,,,,,,,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Bellevue la Montagne,4e Section Bellevue la Montagne,,HT0114-04,,,,,,,,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Bellevue Chardonniere,5e Section Bellevue Chardonnière,,HT0114-05,,,,,,,,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Nouvelle Touraine,1re Section Nouvelle Touraine,,HT0115-01,,,,,,,,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Bongars,2e Section Bongars,,HT0115-02,,,,,,,,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Sourcailles,3e Section Sourcailles,,HT0115-03,,,,,,,,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Belle Fontaine,4e Section Belle Fontaine,,HT0115-04,,,,,,,,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Grand Fond,5e Section Grand Fond,,HT0115-05,,,,,,,,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Morne a Bateau,1re Section Morne à Bateau,,HT0116-01,,,,,,,,Gressier,Gressier,,HT0116,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Morne Chandelle,2e Section Morne Chandelle,,HT0116-02,,,,,,,,Gressier,Gressier,,HT0116,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Petit Boucan,3e Section Petit Boucan,,HT0116-03,,,,,,,,Gressier,Gressier,,HT0116,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section des Varreux,2e Section des Varreux,,HT0117-01,,,,,,,,Cite Soleil,Cité Soleil,,HT0117,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
