#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Matiguás,NI1404,Matiguas,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Morrito,NI1602,,,,Río San Juan,NI16,Nicaragua,NI,2017-10-11,2020-08-13,
Moyogalpa,NI1704,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Mozonte,NI1506,,Mosonte,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Muelle de los Bueyes,NI0207,,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
Murra,NI1507,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Muy Muy,NI1405,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Nagarote,NI1007,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
Nandaime,NI0804,,,,Granada,NI08,Nicaragua,NI,2017-10-11,2020-08-13,
Nandasmo,NI1305,,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
Nindirí,NI1306,Nindiri,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
Niquinohomo,NI1307,,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
Nueva Guinea,NI0208,,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
Ocotal,NI1508,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Palacagüina,NI1102,Palacaguina,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
Posoltega,NI0507,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Potosí,NI1705,Potosi,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Prinzapolka,NI0102,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Pueblo Nuevo,NI0704,,Plueblo Nuevo,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
Puerto Cabezas,NI0103,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Puerto Morazán,NI0508,Puerto Morazan,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Quezalguaque,NI1008,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
Quilalí,NI1509,Quilali,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Rancho Grande,NI1406,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Río Blanco,NI1407,Rio Blanco,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Rivas,NI1706,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Rosita,NI0104,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
San Carlos,NI1603,,,,Río San Juan,NI16,Nicaragua,NI,2017-10-11,2020-08-13,
San Dionisio,NI1408,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
San Fernando,NI1510,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
San Francisco del Norte,NI0509,,San Fransico del Norte,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
San Francisco Libre,NI1204,,,,Managua,NI12,Nicaragua,NI,2017-10-11,2020-08-13,
