#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Asunción,PY0000,,,,Asunción,PY00,Paraguay,PY,2017-10-11,2020-09-16,
Concepción,PY0101,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Belén,PY0102,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Horqueta,PY0103,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Loreto,PY0104,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
San Carlos del Apa,PY0105,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
San Lázaro,PY0106,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Yby Yaú,PY0107,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Azote'y,PY0108,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Sargento José Félix López,PY0109,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
San Alfredo,PY0110,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
Paso Barreto,PY0111,,,,Concepción,PY01,Paraguay,PY,2017-10-11,2020-09-16,
San Pedro del Ycuamandyyú,PY0201,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Antequera,PY0202,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Choré,PY0203,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
General Elizardo Aquino,PY0204,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Itacurubí del Rosario,PY0205,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Lima,PY0206,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Germania,PY0207,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
San Estanislao,PY0208,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
San Pablo,PY0209,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Tacuatí,PY0210,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Unión,PY0211,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
25 de Diciembre,PY0212,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Villa del Rosario,PY0213,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
General Francisco Isidoro Resquín,PY0214,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Yataity del Norte,PY0215,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Guajayvi,PY0216,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Capiibary,PY0217,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
