#adm4+name+i_en,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_en,#adm4+name+alt2+i_en,#adm3+name+i_en,#adm3+code+v_pcode,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Buikwe,UG10010101,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Buikwe Town Council,UG10010102,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Najja,UG10010103,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Ngogwe,UG10010104,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Nkokonjeru Town Council,UG10010105,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Ssi-Bukunja,UG10010106,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Central Division,UG10010201,,,,KCCA,UG100102,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Kawolo Division,UG10010301,,,,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Najjembe Division,UG10010302,,,,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Njeru Division,UG10010401,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Nyenga Division,UG10010402,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Wakisi Division,UG10010403,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Bigasa,UG10020101,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Bukomansimbi  Town Council,UG10020102,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Butenga,UG10020103,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Kibinge,UG10020104,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
Kitanda,UG10020105,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
