#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ñeembucú,PY01,,,,Paraguay,PY,2017-10-11,2020-09-16,
Alto Paraguay,PY02,,,,Paraguay,PY,2017-10-11,2020-09-16,
Alto Paraná,PY03,,,,Paraguay,PY,2017-10-11,2020-09-16,
Amambay,PY04,,,,Paraguay,PY,2017-10-11,2020-09-16,
Asunción,PY05,,,,Paraguay,PY,2017-10-11,2020-09-16,
Boquerón,PY06,,,,Paraguay,PY,2017-10-11,2020-09-16,
Caaguazú,PY07,,,,Paraguay,PY,2017-10-11,2020-09-16,
Caazapá,PY08,,,,Paraguay,PY,2017-10-11,2020-09-16,
Canindeyú,PY09,,,,Paraguay,PY,2017-10-11,2020-09-16,
Central,PY10,,,,Paraguay,PY,2017-10-11,2020-09-16,
Concepción,PY11,,,,Paraguay,PY,2017-10-11,2020-09-16,
Cordillera,PY12,,,,Paraguay,PY,2017-10-11,2020-09-16,
Guairá,PY13,,,,Paraguay,PY,2017-10-11,2020-09-16,
Itapúa,PY14,,,,Paraguay,PY,2017-10-11,2020-09-16,
Misiones,PY15,,,,Paraguay,PY,2017-10-11,2020-09-16,
Paraguarí,PY16,,,,Paraguay,PY,2017-10-11,2020-09-16,
Presidente Hayes,PY17,,,,Paraguay,PY,2017-10-11,2020-09-16,
San Pedro,PY18,,,,Paraguay,PY,2017-10-11,2020-09-16,
