#adm4+name+i_fr,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_fr,#adm4+name+alt2+i_fr,#adm3+name+i_fr,#adm3+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#adm2+name+i_fr,#adm2+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Aéroport,CF111101_1,Aeroport,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Balapa I,CF111102_1,Balapa I,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Balapa II,CF111103_1,Balapa II,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Batalimo I,CF111104_1,Batalimo I,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Coline,CF111105_1,Coline,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
MPoko Bac,CF111106_1,MPoko Bac,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Pétévo,CF111107_1,Petevo,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
PK12,CF111108_1,PK12,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Poto Poto I,CF111109_1,Poto Poto I,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
Sabrola,CF111110_1,Sabrola,,,Bimbo,CF1111,Ombella M'Poko,CF11,Bimbo,CF111,République centrafricaine,CF,2015-03-31,2015-06-15,
14 Villas,CF711101,14 Villas,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
17 Villas,CF711102,17 Villas,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
200 Villas,CF711103,200 Villas,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
36 Villas,CF711104,36 Villas,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
9 Villas,CF711105,9 Villas,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Centre Ville,CF711106,Centre Ville,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité ASECNA,CF711107,Cite ASECNA,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Batignolle,CF711108,Cite Batignolle,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Christophe,CF711109,Cite Christophe,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité des Evolués,CF711110,Cite des Evolues,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité La Tour,CF711111,Cite La Tour,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Universitaire,CF711112,Cite Universitaire,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Veret,CF711113,Cite Veret,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
La Petite Coline,CF711114,La Petite Coline,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sica-Assana,CF711115,Sica-Assana,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sica I,CF711116,Sica I,,,Arrondissement 1,CF7111,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bacongo,CF711201,Bacongo,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Batambo,CF711202,Batambo,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bordeau I,CF711203,Bordeau I,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bordeau II,CF711204,Bordeau II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bruxelles,CF711205,Bruxelles,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Iles des Singes,CF711206,Iles des Singes,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kangba I,CF711207,Kangba I,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kingoma,CF711208,Kingoma,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga 0,CF711209,Lakouanga 0,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga I,CF711210,Lakouanga I,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga II,CF711211_1,Lakouanga II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga II,CF711211_2,Lakouanga II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga Sénégalais,CF711212,Lakouanga Senegalais,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga IV,CF711213,Lakouanga IV,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga V,CF711214,Lakouanga V,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lakouanga VI,CF711215,Lakouanga VI,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Paris Congo,CF711217,Paris Congo,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sapéké II,CF711218,Sapeke II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
