admin4Name_en,admin4Pcode,admin4RefName_en,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm4+name+i_en,#adm4+code+pcode,#adm4+name+i_en,#adm4+name+i_en,#adm4+name+i_en,#adm3+name+i_en,#adm3+code+pcode,#adm2+name+i_en,#adm2+code+pcode,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Baiwalla,SL01010101,Baiwalla,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dodo,SL01010102,Dodo,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sakiema,SL01010103,Sakiema,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sienga,SL01010104,Sienga,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bobor,SL01010201,Bobor,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kaio,SL01010202,Kaio,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Giebu,SL01010203,Lower Giebu,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Luyengeh,SL01010204,Lower Luyengeh,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mano,SL01010205,Mano,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sowa,SL01010206,Sowa,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Giebu,SL01010207,Upper Giebu,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Luyengeh,SL01010208,Upper Luyengeh,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dakaleley,SL01010301,Dakaleley,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kama Teng,SL01010302,Kama Teng,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kama Toh,SL01010303,Kama Toh,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bumasadu,SL01010401,Bumasadu,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Konio,SL01010402,Konio,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kundu,SL01010403,Kundu,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lela,SL01010404,Lela,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Torli,SL01010405,Torli,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bende Bengu,SL01010501,Bende Bengu,,,Kissi Tongi,SL010105,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Konio,SL01010502,Konio,,,Kissi Tongi,SL010105,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Pokorli,SL01010503,Pokorli,,,Kissi Tongi,SL010105,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tongi Tingi,SL01010504,Tongi Tingi,,,Kissi Tongi,SL010105,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bongre,SL01010601,Bongre,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Borkou,SL01010602,Borkou,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Falloh,SL01010603,Falloh,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jorwu,SL01010604,Jorwu,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Manowa,SL01010605,Manowa,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Marwei,SL01010606,Marwei,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Seimaya,SL01010607,Seimaya,,,Kpeje Bongre,SL010106,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bunumbu,SL01010701,Bunumbu,,,Kpeje West,SL010107,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Golama,SL01010702,Golama,,,Kpeje West,SL010107,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpaewa,SL01010703,Kpaewa,,,Kpeje West,SL010107,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpindima,SL01010704,Kpindima,,,Kpeje West,SL010107,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Baoma,SL01010801,Baoma,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gao,SL01010802,Gao,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbela,SL01010803,Gbela,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Giehun,SL01010804,Giehun,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Kpombali,SL01010805,Lower Kpombali,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Luawa Foguiya,SL01010806,Luawa Foguiya,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mano-Sewallu,SL01010807,Mano-Sewallu,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mende Buima,SL01010808,Mende Buima,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mofindor,SL01010809,Mofindor,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Kpombali,SL01010810,Upper Kpombali,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bamburu,SL01010901,Bamburu,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Sami,SL01010902,Lower Sami,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njagbla,SL01010903,Njagbla,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Pelegbambeima,SL01010904,Pelegbambeima,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Sami,SL01010905,Upper Sami,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbongre,SL01011001,Gbongre,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Levuma Jeigbla,SL01011002,Levuma Jeigbla,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Kuiva,SL01011003,Lower Kuiva,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Kuiva,SL01011004,Upper Kuiva,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bombowa,SL01011101,Bombowa,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dan Sei,SL01011102,Dan Sei,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Falley,SL01011103,Falley,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fauya,SL01011104,Fauya,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
