#adm2+name+i_pt,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_pt,#adm2+name+alt2+i_pt,#adm1+name+i_pt,#adm1+code+v_pcode,#country+name+i_pt,#country+code+v_iso2,#date+start,#date+updated,#date+end
Santa Isabel,CV0101,,,,Boa Vista,CV01,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Joao Baptista,CV0102,,,,Boa Vista,CV01,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Do Monte,CV0201,,,,Brava,CV02,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Joao Baptista,CV0202,,,,Brava,CV02,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Luz,CV0301,,,,Maio,CV03,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Ajuda,CV0401,,,,Mosteiros,CV04,Cabo Verde,CV,2017-12-27,2022-03-24,
Santo Antonio Das Pombas,CV0501,,,,Paul,CV05,Cabo Verde,CV,2017-12-27,2022-03-24,
Santo Andre,CV0601,,,,Porto Novo,CV06,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Joao Baptista,CV0602,,,,Porto Novo,CV06,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Graca,CV0701,,,,Praia,CV07,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Lapa,CV0801,,,,Ribeira Brava,CV08,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Do Rosario,CV0802,,,,Ribeira Brava,CV08,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Do Livramento,CV0901,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Do Rosario,CV0902,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
Santo Crucifixo,CV0903,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Pedro Apostolo,CV0904,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
Santissimo Nome De Jesus,CV1001,,,,Ribeira Grande de Santiago,CV10,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Joao Baptista,CV1003,,,,Ribeira Grande de Santiago,CV10,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Das Dores,CV1101,,,,Sal,CV11,Cabo Verde,CV,2017-12-27,2022-03-24,
Santa Catarina,CV1201,,,,Santa Catarina,CV12,Cabo Verde,CV,2017-12-27,2022-03-24,
Santa Catarina Do Fogo,CV1301,,,,Santa Catarina Do Fogo,CV13,Cabo Verde,CV,2017-12-27,2022-03-24,
Santiago Maior,CV1401,,,,Santa Cruz,CV14,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Luz,CV1501,,,,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Nicolau Tolentino,CV1502,,,,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Conceicao,CV1601,,,,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Lourenco,CV1602,,,,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Lourenco Dos Orgaos,CV1701,,,,Sao Lourenco Dos Orgaos,CV17,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Miguel Arcanjo,CV1801,,,,Sao Miguel,CV18,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Salvador Do Mundo,CV1901,,,,Sao Salvador Do Mundo,CV19,Cabo Verde,CV,2017-12-27,2022-03-24,
Nossa Senhora Da Luz,CV2001,,,,Sao Vicente,CV20,Cabo Verde,CV,2017-12-27,2022-03-24,
Santo Amaro Abade,CV2101,,,,Tarrafal,CV21,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Francisco De Assis,CV2201,,,,Tarrafal De Sao Nicolau,CV22,Cabo Verde,CV,2017-12-27,2022-03-24,
