#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Tolongoina,MG23211091,,,,Ikongo,MG23211,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimisafy,MG23211092,,,,Ikongo,MG23211,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ankarimbelo,MG23211111,,,,Ikongo,MG23211,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Antodinga,MG23211112,,,,Ikongo,MG23211,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Kalafotsy,MG23211113,,,,Ikongo,MG23211,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Vohipeno,MG23212010,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Vohitrindry,MG23212031,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Vohindava,MG23212032,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ivato,MG23212051,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Savana,MG23212052,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Anoloka,MG23212053,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Mahabo,MG23212070,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ankarimbary,MG23212090,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Lanivo,MG23212110,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Nato,MG23212130,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Mahasoabe,MG23212150,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Onjatsy,MG23212171,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Vohilany,MG23212172,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Andemaka,MG23212190,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ifatsy,MG23212211,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Antananabo,MG23212212,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ilakatra,MG23212230,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Sahalava,MG23212250,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Mahazoarivo,MG23212270,,,,Vohipeno,MG23212,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
Ihosy,MG24216010,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ankily,MG24216031,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ambia,MG24216032,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Tolohomiady,MG24216033,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Irina,MG24216050,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Sahambano,MG24216070,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Analaliry,MG24216090,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Mahasoa,MG24216110,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolahy,MG24216131,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Soamatasy,MG24216132,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Zazafotsy,MG24216151,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Antsoha,MG24216152,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Sakalalina,MG24216170,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Satrokala,MG24216191,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Andiolava,MG24216192,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Analavoka,MG24216210,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ranohira,MG24216231,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ilakaka,MG24216232,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Menamaty Iloto,MG24216250,,,,Ihosy,MG24216,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ivohibe,MG24218010,,,,Ivohibe,MG24218,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Antambohobe,MG24218030,,,,Ivohibe,MG24218,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Maropaika,MG24218050,,,,Ivohibe,MG24218,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ivongo,MG24218070,,,,Ivohibe,MG24218,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Iakora,MG24221010,,,,Iakora,MG24221,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Ranotsara Nord,MG24221030,,,,Iakora,MG24221,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Begogo,MG24221050,,,,Iakora,MG24221,Ihorombe,MG24,Madagascar,MG,2010-12-31,2020-02-20,
Farafangana,MG25213010,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohimasy,MG25213030,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Anosivelo,MG25213050,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Anosy Tsararafa,MG25213070,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohitromby,MG25213090,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ivandrika,MG25213110,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Manambotra Atsimo,MG25213130,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahavelo,MG25213150,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahafasa Centre,MG25213170,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Amporoforo,MG25213190,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Iabohazo,MG25213210,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Tangainony,MG25213230,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Beretra Bevoay,MG25213250,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambohigogo,MG25213270,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Maheriraty,MG25213290,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahabo Mananivo,MG25213310,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimandroso,MG25213330,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ankarana Miraihina,MG25213350,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Evato,MG25213370,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Etrotroka Atsimo,MG25213390,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavato Nord,MG25213410,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Efatsy,MG25213430,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Tovona,MG25213450,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambalatany,MG25213471,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Namohora Iaborano,MG25213472,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Sahamadio,MG25213490,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Fenoarivo,MG25213510,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Antseranambe,MG25213530,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ihorombe,MG25213551,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavato Antevato,MG25213552,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohilengo,MG25213570,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Marovandrika,MG25213590,,,,Farafangana,MG25213,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vangaindrano,MG25214010,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimalemy,MG25214031,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Tsianofana,MG25214032,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Bekaraoky,MG25214033,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Tsiately,MG25214050,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Soamanova,MG25214070,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Lopary,MG25214091,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Bema,MG25214092,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohitrambo,MG25214111,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Anilobe,MG25214112,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Lohafary,MG25214131,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ampataka,MG25214132,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Matanga,MG25214151,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Masianaka,MG25214152,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohipaho,MG25214171,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Marokibo,MG25214172,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ranomena,MG25214190,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambongo,MG25214211,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolava,MG25214212,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Iara,MG25214230,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Bevata,MG25214251,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Karimbary,MG25214252,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Manambondro,MG25214270,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Fenoambany,MG25214290,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Isahara,MG25214311,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohimalaza,MG25214312,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vatanato,MG25214313,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Amparihy Est,MG25214331,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Sandravinany,MG25214332,,,,Vangaindrano,MG25214,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Nosifeno,MG25215011,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ankazovelo,MG25215012,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Andranolalina,MG25215031,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Maliorano,MG25215032,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ivondro,MG25215051,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Soakibany,MG25215052,,,,Midongy-Atsimo,MG25215,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vondrozo,MG25217011,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Manambidala,MG25217012,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Anandravy,MG25217013,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahatsinjo,MG25217030,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahazoarivo,MG25217051,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Iamonta,MG25217052,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohimary,MG25217071,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Antokonala,MG25217072,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimana,MG25217090,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Karianga,MG25217111,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Manato,MG25217112,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ivato,MG25217130,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Mahavelo,MG25217150,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Andakana,MG25217170,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Moroteza,MG25217191,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Vohiboreka,MG25217192,,,,Vondrozo,MG25217,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Befotaka Sud,MG25222011,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Antondabe,MG25222012,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Marovitsika Sud,MG25222031,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Antaninarenina,MG25222032,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ranotsara Sud,MG25222051,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Beharena,MG25222052,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Bekofafa Sud,MG25222053,,,,Befotaka,MG25222,Atsimo Atsinanana,MG25,Madagascar,MG,2010-12-31,2020-02-20,
Ambodimanga,MG31301001,,,,Toamasina I,MG31301,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Anjoma,MG31301002,,,,Toamasina I,MG31301,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Morarano,MG31301003,,,,Toamasina I,MG31301,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao V,MG31301004,,,,Toamasina I,MG31301,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ankirihiry,MG31301005,,,,Toamasina I,MG31301,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Brickaville,MG31306010,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Vohitranivona,MG31306030,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Anivorano Est,MG31306050,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Mahatsara,MG31306070,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Andovoranto,MG31306090,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambinaninony,MG31306110,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Fetraomby,MG31306130,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Vohipeno Razanaka,MG31306150,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ranomafana Est,MG31306171,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimbe,MG31306172,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Fanasana,MG31306190,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambalarondra,MG31306210,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Maroseranana,MG31306230,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Lohariandava,MG31306251,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Andekaleka,MG31306252,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimanana,MG31306270,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Anjahamana,MG31306290,,,,Brickaville,MG31306,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Vatomandry,MG31307010,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodivoananto,MG31307030,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Maintinandry,MG31307051,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao Vahatrakaka,MG31307052,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tsarasambo,MG31307053,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Sahamatevina,MG31307070,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Antanambao Mahatsara,MG31307091,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Iamborano,MG31307092,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavolo,MG31307110,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Amboditavolo,MG31307131,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Niherenana,MG31307132,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ilaka Est,MG31307151,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Niarovana Caroline,MG31307152,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tsivangiana,MG31307171,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimazava,MG31307172,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimadinika,MG31307190,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ifasina I,MG31307210,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambalabe,MG31307230,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ifasina II,MG31307250,,,,Vatomandry,MG31307,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Mahanoro,MG31308011,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Betsizaraina,MG31308012,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tsaravinany,MG31308030,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodiharina,MG31308050,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Manjakandriana,MG31308070,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Masomeloka,MG31308090,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambinanidilana,MG31308110,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodibonara,MG31308130,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ankazotsifantatra,MG31308150,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambinanindrano,MG31308170,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Befotaka,MG31308190,,,,Mahanoro,MG31308,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Marolambo,MG31309010,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Betampona,MG31309031,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao Rabemanana,MG31309032,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Andonabe Sud,MG31309050,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambalapaiso II,MG31309071,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodivoangy,MG31309072,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimilanja,MG31309090,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambatofisaka II,MG31309110,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Androrangavola,MG31309131,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Anosiarivo I,MG31309132,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Amboasary,MG31309150,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Lohavanana,MG31309170,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodinonoka,MG31309191,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Sahakevo,MG31309192,,,,Marolambo,MG31309,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Toamasina Suburbaine,MG31310010,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Antetezambaro,MG31310030,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Fanandrana,MG31310050,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodiriana,MG31310070,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
