#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ambohimanjaka,MG11103270,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiadanana,MG11103290,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahabo,MG11103310,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahereza,MG11103330,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antanetibe,MG11103350,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipihaonana,MG11103370,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambato,MG11103390,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjanadoria,MG11103410,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Avaratsena,MG11103430,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankazobe,MG11104010,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Talata Angavo,MG11104030,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitromby,MG11104050,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antotohazo,MG11104071,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Marondry,MG11104072,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fihaonana,MG11104090,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahavelona,MG11104110,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiadanana,MG11104130,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsaramasoandro,MG11104150,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambolotarakely,MG11104170,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antakavana,MG11104190,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Kiangara,MG11104210,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Miantso,MG11104230,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manjakandriana,MG11106011,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolaona,MG11106012,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Sambaina,MG11106030,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibary,MG11106050,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomanga,MG11106070,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alarobia,MG11106090,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mantasoa,MG11106110,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ranovao,MG11106130,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Miadanandriana,MG11106150,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Nandihizana,MG11106170,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjepy,MG11106190,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambanitsena,MG11106210,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrandriamanitra,MG11106230,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomena,MG11106251,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibao Sud,MG11106252,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitseheno,MG11106271,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antsahalalina,MG11106272,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrony,MG11106290,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Merikanjaka,MG11106310,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjoma Betoho,MG11106330,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankazondandy,MG11106351,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soavinandriana,MG11106352,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrolomahitsy,MG11106371,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampaneva,MG11106372,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Sadabe,MG11106390,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjozorobe,MG11107019,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mangamila,MG11107070,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambongamarina,MG11107099,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsarasaotra,MG11107110,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimanarina Marovazaha,MG11107130,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Betatao,MG11107150,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy,MG11107170,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Analaroa,MG11107190,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antanetibe,MG11107211,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Belanitra,MG11107212,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomanoina,MG11107230,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Amparatanjona,MG11107250,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Amboasary Nord,MG11107270,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
