#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mandi Bahauddin,PK620,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Mianwali,PK621,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Multan,PK622,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Muzaffargarh,PK623,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Nankana Sahib,PK624,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Narowal,PK625,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Okara,PK626,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Pakpattan,PK627,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Rahim Yar Khan,PK628,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Rajanpur,PK629,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Rawalpindi,PK630,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Sahiwal,PK631,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Sargodha,PK632,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Sheikhupura,PK633,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Sialkot,PK634,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Toba Tek Singh,PK635,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Vehari,PK636,,,,Punjab,PK6,Pakistan,PK,2018-11-30,2018-12-18,
Awaran,PK701,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Barkhan,PK702,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Chagai,PK704,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
