#adm1+name+i_sk,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_sk,#adm1+name+alt2+i_sk,#country+name+i_sk,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bratislavský kraj,SK010,,,,Slovensko,SK,2022-03-09,2022-03-22,
Trnavský kraj,SK021,,,,Slovensko,SK,2022-03-09,2022-03-22,
Trenčiansky kraj,SK022,,,,Slovensko,SK,2022-03-09,2022-03-22,
Nitriansky kraj,SK023,,,,Slovensko,SK,2022-03-09,2022-03-22,
Žilinský kraj,SK031,,,,Slovensko,SK,2022-03-09,2022-03-22,
Banskobystrický kraj,SK032,,,,Slovensko,SK,2022-03-09,2022-03-22,
Prešovský kraj,SK041,,,,Slovensko,SK,2022-03-09,2022-03-22,
Košický kraj,SK042,,,,Slovensko,SK,2022-03-09,2022-03-22,
