#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gilbert Islands,KI1,,,,Kiribati,KI,2020-01-13,2020-01-13,
Phoenix Islands,KI2,,,,Kiribati,KI,2020-01-13,2020-01-13,
Line Islands,KI3,,,,Kiribati,KI,2020-01-13,2020-01-13,
