admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
#adm2+name+i_fr,#adm2+code+pcode,,#adm2+name+i_fr,#adm2+name+i_fr,#adm1+name+i_fr,#adm1+code+pcode,#adm0+name+i_fr,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Aderbissinat,NE001001,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Arlit,NE001002,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Bilma,NE001003,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Iferouane,NE001004,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Ingall,NE001005,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Tchirozerine,NE001006,,,,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Bosso,NE002001,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Diffa,NE002002,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Goudoumaria,NE002003,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Maine-Soroa,NE002004,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
N'Gourti,NE002005,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
N'Guigmi,NE002006,,,,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Boboye,NE003001,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dioundiou,NE003002,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dogondoutchi,NE003003,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dosso,NE003004,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Falmey,NE003005,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Gaya,NE003006,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Loga,NE003007,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tibiri (Doutchi),NE003008,,,,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Aguie,NE004001,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Bermo,NE004002,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Dakoro,NE004003,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Gazaoua,NE004004,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Guidan-Roumdji,NE004005,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Madarounfa,NE004006,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Ville De Maradi,NE004007,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Mayahi,NE004008,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tessaoua,NE004009,,,,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Abalak,NE005001,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bagaroua,NE005002,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Birni N'Konni,NE005003,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bouza,NE005004,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Illela,NE005005,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Keita,NE005006,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Madaoua,NE005007,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Malbaza,NE005008,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tahoua,NE005009,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tassara,NE005010,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tchintabaraden,NE005011,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tillia,NE005012,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Ville De Tahoua,NE005013,,,,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Abala,NE006001,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Ayerou,NE006002,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Balleyara,NE006003,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Banibangou,NE006004,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Bankilare,NE006005,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Filingue,NE006006,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Gotheye,NE006007,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kollo,NE006008,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Ouallam,NE006009,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Say,NE006010,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tera,NE006011,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tillaberi,NE006012,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Torodi,NE006013,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Belbedji,NE007001,,,,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Damagaram Takaya,NE007002,,,,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dungass,NE007003,,,,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Goure,NE007004,,,,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kantche,NE007005,,,,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
