#adm2+name+i_en,#adm2+name+i_ru,#adm2+name+i_uz,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm2+name+alt1+i_uz,#adm2+name+alt2+i_uz,#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_uz,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ru,#country+name+i_uz,#country+code+v_iso2,#date+start,#date+updated,#date+end
Furkat,Фуркатский,Furqat,UZ30238,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kushtepa,Куштепинский,Qo'shtepa,UZ30206,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Buvayda,Бувайдинский,Buvayda,UZ30212,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Dangara,Дангаринский,Dang'ara,UZ30236,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yazyavan,Язъяванский,Yozyovon,UZ30242,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Mingbulak,Мингбулакский,Mingbuloq,UZ14204,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khadjaabad,Ходжаабадский,Xo'jaobod,UZ03236,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kuva,Кувинский,Quva,UZ30218,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Tashlak,Ташлакский,Toshloq,UZ30227,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Margilan city,г.Маpгилан,Marg'ilon ш.,UZ30412,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Markhamat,Мархаматский,Marxamat,UZ03227,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Asaka,Асакинский,Asaka,UZ03224,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shakhrixan,Шахриханский,Shaxrixon,UZ03230,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Boz,Бозский,Bo'z,UZ03209,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Djalalkuduk,Жалакудукский,Jalaquduq,UZ03211,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bulakbashi,Булакбашинский,Buloqboshi,UZ03210,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kurgantepa,Кургантепинский,Qo'rg'ontepa,UZ03220,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Narin,Нарынский,Norin,UZ14216,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Chust,Чустский,Chust,UZ14237,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Namangan,Наманганский,Namangan,UZ14212,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Turakurgan,Туракурганский,To'raqo'rg'on,UZ14224,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Balikchi,Балыкчинский,Baliqchi,UZ03206,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yangikurgan,Янгикурганский,Yangiqo'rg'on,UZ14242,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kasansay,Касансайский,Kosonsoy,UZ14207,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Namangan city,г.Наманган,Namangan ш.,UZ14401,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uychi,Уйчинский,Uychi,UZ14229,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Chartak,Чартакский,Chortoq,UZ14236,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khanabad city,г.Ханабад,Xonobod ш.,UZ03408,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Altinkul,Алтынкульский,Oltinko'l,UZ03202,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Andijan city,г.Андижан,Andijon ш.,UZ03401,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uchkurgan,Учкурганский,Uchqo'rg'on,UZ14234,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Izboskan,Избасканский,Izboskan,UZ03214,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Paxtaabad,Пахтаабадский,Paxtaobod,UZ03232,,,,,,,,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khiva city,г.Хивинский,Xiva ш.,UZ33406,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nurafshon city,г.Нурафшон,Nurafshon ш.,UZ27401,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shakhrisabz city,г.Шахрисабз,Shahrisabz ш.,UZ10405,,,,,,,,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
