#adm2+name+i_en,#adm2+name+i_ru,#adm2+name+i_uz,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm2+name+alt1+i_uz,#adm2+name+alt2+i_uz,#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_uz,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ru,#country+name+i_uz,#country+code+v_iso2,#date+start,#date+updated,#date+end
Payarik,Пайарыкский,Payariq,UZ18224,,,,,,,,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Akdarya,Акдарьинский,Oqdaryo,UZ18203,,,,,,,,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Farish,Фаришский,Forish,UZ08235,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Gallyaaral,Галляаральский,G'allaorol,UZ08209,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khiva,Хивинский,Xiva,UZ33226,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Karauzyak,Караузякский,Qorao'zak,UZ35211,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kungrad,Кунградский,Qo'ng'irot,UZ35215,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shavat,Шаватский,Shovot,UZ33230,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Koshkupir,Кошкупырский,Qo'shko'pir,UZ33212,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Amudarya,Амударьинский,Amudaryo,UZ35204,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Gurlen,Гурленский,Gurlan,UZ33208,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Chimbay,Чимбайский,Chimboy,UZ35240,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kanlikul,Канлыкульский,Qanliko'l,UZ35218,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shumanay,Шуманайский,Shumanay,UZ35243,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khojeyli,Ходжейлийский,Xo'jayli,UZ35236,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kegeyli,Кегейлийский,Kegeyli,UZ35212,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Muynak,Муйнакский,Mo'ynoq,UZ35222,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nukus,Нукусский,Nukus,UZ35225,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Takhtakupir,Тахтакупырский,Taxtako'pir,UZ35230,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nukus city,г.Нукус,Nukus ш.,UZ35401,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Turtkul,Турткульский,To'rtko'l,UZ35233,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uchkuduk,Учкудукский,Uchquduq,UZ12248,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khazarasp,Хазараспский,Xazorasp,UZ33220,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kanimekh,Канимехский,Konimex,UZ12211,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Tamdi,Тамдынский,Tomdi,UZ12244,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Ellikkala,Элликкалинский,Ellikkala,UZ35250,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khanka,Ханкинский,Xonqa,UZ33223,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yangiarik,Янгиарыкский,Yangiariq,UZ33233,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bagat,Багатский,Bog'ot,UZ33204,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Urgench,Ургенчский,Urganch,UZ33217,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Beruniy,Берунийский,Beruniy,UZ35207,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yangibazar,Янгибазарский,Yangibozor,UZ33236,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Urgench city,г.Ургенч,Urganch ш.,UZ33401,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Zarafshan city,г.Заpафшан,Zarafshon ш.,UZ12408,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bagdad,Багдадский,Bog'dod,UZ30209,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yangiabad,Янгиободский,Yangiobod,UZ08237,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Sariasiya,Сариасийский,Sariosiyo,UZ22217,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Dzharkurgan,Джаркурганский,Jarqo'rg'on,UZ22212,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Termez city,г.Термез,Termiz ш.,UZ22401,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kizirik,Кизирикский,Qiziriq,UZ22215,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shurchi,Шурчинский,Sho'rchi,UZ22226,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kumkurgan,Кумкурганский,Qumqo'rg'on,UZ22214,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uzun,Узунский,Uzun,UZ22221,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Altinsay,Алтынсайский,Oltinsoy,UZ22201,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Denau,Денауский,Denov,UZ22210,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Dzhizak city,г.Джизак,Jizzax ш.,UZ08401,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bakhmal,Бахмальский,Baxmal,UZ08204,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bulungur,Булунгурский,Bulung'ur,UZ18206,,,,,,,,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Sharof Rashidov,Шароф Рашидовский,Sharof Rashidov,UZ08212,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Zafarabad,Зафарабадский,Zafarobod,UZ08225,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Zarbdar,Зарбдарский,Zarbdor,UZ08220,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Zaаmin,Зааминский,Zomin,UZ08218,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Sardoba,Сардобский,Sardoba,UZ24226,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Paxtakor,Пахтакорский,Paxtakor,UZ08228,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Dustlik,Дустликский,Do'stlik,UZ08215,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khavas,Хавасский,Xovos,UZ24235,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Mirzaabad,Мирзаабадский,Mirzaobod,UZ24228,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bekabad,Бекабадский,Bekobod,UZ27220,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uzbekistan,Узбекистанский,O'zbekiston,UZ30230,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Besharik,Бешарыкский,Beshariq,UZ30215,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Sokh,Сохский,So'x,UZ30226,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Fergana,Ферганский,Farg'ona,UZ30233,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bekabad city,г.Бекабад,Bekobod ш.,UZ27413,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bayaut,Баяутский,Boyovut,UZ24212,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shirin city,г.Шиpин,Shirin ш.,UZ24410,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Yangiyer city,г.Янгиеp,Yangiyer ш.,UZ24413,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Rishtan,Риштанский,Rishton,UZ30224,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Altiarik,Алтыарыкский,Oltiariq,UZ30203,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Uchkuprik,Учкуприкский,Uchko'prik,UZ30221,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kuvasay city,г.Кувасай,Quvasoy ш.,UZ30408,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Fergana city,г.Фергана,Farg'ona ш.,UZ30401,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Pap,Папский,Pop,UZ14219,,,,,,,,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Urtachirchik,Уртачирчикский,O'rtachirchiq,UZ27253,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Gulistan city,г.Гулистан,Guliston ш.,UZ24401,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Saykhunabad,Сайхунабадский,Sayxunobod,UZ24216,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Mirzachul,Мирзачульский,Mirzacho'l,UZ08223,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Arnasay,Арнасайский,Arnasoy,UZ08201,,,,,,,,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Gulistan,Гулистанский,Guliston,UZ24220,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Akaltin,Акалтынский,Oqoltin,UZ24206,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Sirdarya,Сырдарьинский,Sirdaryo,UZ24231,,,,,,,,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kuyichirchik,Куйичирчикский,Qiyichirchiq,UZ27233,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Chinaz,Чиназский,Chinoz,UZ27256,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Akhangaran,Ахангаранский,Ohangaron,UZ27212,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Buka,Букинский,Bo'ka,UZ27228,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Akkurgan,Аккурганский,Oqqo'rg'on,UZ27206,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Pskent,Пскентский,Pskent,UZ27250,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
