#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Alquízar,CU0101,Alquizar,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Artemisa,CU0102,Artemisa,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Bahía Honda,CU0103,Bahia Honda,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Bauta,CU0104,Bauta,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Caimito,CU0105,Caimito,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Candelaria,CU0106,Candelaria,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Guanajay,CU0107,Guanajay,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Güira de Melena,CU0108,Guira de Melena,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Mariel,CU0109,Mariel,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
San Antonio de los Baños,CU0110,San Antonio de los Banos,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
San Cristóbal,CU0111,San Cristobal,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
Camagüey,CU0201,Camaguey,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Carlos Manuel de Céspedes,CU0202,Carlos Manuel de Cespedes,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Esmeralda,CU0203,Esmeralda,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Florida,CU0204,Florida,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Guáimaro,CU0205,Guaimaro,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Jimaguayú,CU0206,Jimaguayu,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Minas,CU0207,Minas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Najasa,CU0208,Najasa,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Nuevitas,CU0209,Nuevitas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Santa Cruz del Sur,CU0210,Santa Cruz del Sur,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Sibanicú,CU0211,Sibanicu,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Sierra de Cubitas,CU0212,Sierra de Cubitas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Vertientes,CU0213,Vertientes,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
Baraguá,CU0301,Baragua,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Bolivia,CU0302,Bolivia,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Chambas,CU0303,Chambas,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Ciego de ávila,CU0304,Ciego de avila,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Ciro Redodo,CU0305,Ciro Redodo,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Florencia,CU0306,Florencia,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Majagua,CU0307,Majagua,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Morón,CU0308,Moron,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
Primero de Enero,CU0309,Primero de Enero,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
