admin3Name_es,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin3AltName1_en,admin3AltName2_en,admin2Name_es,admin2Name_en,admin2Pcode,admin1Name_es,admin1Name_en,admin1Pcode,admin0Name_es,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm3+name+i_es,#adm3+name+i_en,#adm3+code+pcode,,#adm3+name+i_es,#adm3+name+i_es,#adm3+name+i_en,#adm3+name+i_en,#adm2+name+i_es,#adm2+name+i_en,#adm2+code+pcode,#adm1+name+i_es,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_es,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
23 De Enero,,VE010122,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Alto Orinoco,,VE020100,,,,,,Autonomo Alto Orinoco,,VE0201,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Atabapo,,VE020200,,,,,,Autonomo Atabapo,,VE0202,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Atures,,VE020300,,,,,,Autonomo Atures,,VE0203,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Autana,,VE020400,,,,,,Autonomo Autana,,VE0204,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Maroa,,VE020500,,,,,,Autonomo Maroa,,VE0205,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Manapiare,,VE020600,,,,,,Autonomo Manapiare,,VE0206,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Autonomo Rio Negro,,VE020700,,,,,,Autonomo Rio Negro,,VE0207,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Anaco,,VE030101,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Joaquin,,VE030102,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Aragua,,VE030201,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Cachipo,,VE030202,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Fernando De Peñalv,,VE030301,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Miguel,,VE030302,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Sucre,,VE030303,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Valle De Guanape,,VE030401,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Santa Barbara,,VE030402,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Francisco De Miran,,VE030501,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Atapirire,,VE030502,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Boca Del Pao,,VE030503,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
El Pao,,VE030504,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Guanta,,VE030601,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Chorreron,,VE030602,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Independencia,,VE030701,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Mamo,,VE030702,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Puerto La Cruz,,VE030801,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Pozuelos,,VE030802,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Onoto,,VE030901,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Pablo,,VE030902,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Jose Gregorio Mona,,VE031001,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Piar,,VE031002,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Diego De Cabrutica,,VE031003,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Santa Clara,,VE031004,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Uverito,,VE031005,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Zuata,,VE031006,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Libertad,,VE031101,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
El Carito,,VE031102,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Santa Ines,,VE031103,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Clarines,,VE031201,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Guanape,,VE031202,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Sabana De Uchire,,VE031203,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Pedro Maria Freite,,VE031301,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Libertador,,VE031302,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Santa Rosa,,VE031303,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Urica,,VE031304,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Piritu,,VE031401,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Francisco,,VE031402,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital San Jose De Guanip,,VE031501,,,,,,San Jose De Guanip,,VE0315,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Boca De Uchire,,VE031601,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Boca De Chavez,,VE031602,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
