#adm4+name+i_en,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_en,#adm4+name+alt2+i_en,#adm3+name+i_en,#adm3+code+v_pcode,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Antanimalalaka Analakely,MG11101001001,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavao Isotry,MG11101001002,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatonakanga Ambohitsorohitra,MG11101001003,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatovinaky,MG11101001004,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soarano Ambondrona Ambodifilao,MG11101001005,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampandrana Ankadivato,MG11101001006,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Amparibe Ambohidahy Mahamasina,MG11101001007,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Amboasarikely Ambatomena,MG11101001008,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anatihazo Isotry,MG11101001009,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andavamamba Anatihazo I,MG11101001010,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andavamamba Anatihazo II,MG11101001011,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andavamamba Anjezika I,MG11101001012,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andavamamba Anjezika II,MG11101001013,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohatapenaka I,MG11101001014,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohatapenaka II,MG11101001015,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohatapenaka IIi,MG11101001016,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
