#adm1+name+i_pt,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_pt,#adm1+name+alt2+i_pt,#country+name+i_pt,#country+code+v_iso2,#date+start,#date+updated,#date+end
Príncipe,ST01,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
São Tomé,ST02,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
