admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Ix xet,Иххэт,MN4419,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ixtamir,Их тамир,MN6513,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalan,Жаргалан,MN8222,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN4149,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN6104,,,,,,Orkhon,Орхон,MN61,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN6440,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN6510,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN6719,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargalant,Жаргалант,MN8401,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jargaltxaan,Жаргалтхаан,MN2337,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Javxlant,Жавхлант,MN4316,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Jinst,Жинст,MN6443,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Lu'n,Лүн,MN4155,Lun,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Luus,Луус,MN4825,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Malchin,Малчин,MN8522,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mandal,Мандал,MN4322,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mandal-Ovoo,Мандал-Овоо,MN4616,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mandax,Мандах,MN4422,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Manlai,Манлай,MN4619,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Manxan,Манхан,MN8425,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Matad,Матад,MN2122,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'ngonmorit,Мөнгөнморьт,MN4158,Mongonmorit,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'nxxaan,Мөнххаан,MN2213,Monxxaan,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'nxxairxan,Мөнххайрхан,MN8428,Monxxairxan,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'ron,Мөрөн,MN2340,Moron,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'ron,Мөрөн,MN6701,Moron,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mo'st,Мөст,MN8431,Most,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Mogod,Могод,MN6322,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Myangad,Мянгад,MN8434,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Nalaix,Налайх,MN1113,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Naran,Наран,MN2216,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Naranbulag,Наранбулаг,MN8525,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Nariinteel,Нарийнтээл,MN6231,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
No'mrog,Нөмрөг,MN8128,Nomrog,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Nogoonnuur,Ногооннуур,MN8325,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Nomgon,Номгон,MN4625,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Norovlin,Норовлин,MN2343,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Noyon,Ноён,MN4622,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'giinuur,Өгийнуур,MN6516,Ogiinuur,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lgii,Өлгий,MN8301,Olgii,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lgii,Өлгий,MN8528,Olgii,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lziit,Өлзийт,MN4828,Olziit,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lziit,Өлзийт,MN6234,Olziit,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lziit,Өлзийт,MN6449,Olziit,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'lziit,Өлзийт,MN6519,Olziit,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'mnodelger,Өмнөдэлгэр,MN2346,Omnodelger,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'mnogovi,Өмнөгөвь,MN8531,Omnogovi,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'ndor-Ulaan,Өндөр-Улаан,MN6522,Ondor-Ulaan,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'ndorshil,Өндөршил,MN4831,Ondorshil,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'ndorshireet,Өндөрширээт,MN4161,Ondorshireet,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'ndorxangai,Өндөрхангай,MN8534,Ondorxangai,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
O'rgon,Өргөн,MN4425,Orgon,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ongon,Онгон,MN2219,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Orxon,Орхон,MN4325,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Orxon,Орхон,MN4504,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Orxon,Орхон,MN6325,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Orxontuul,Орхонтуул,MN4328,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Otgon,Отгон,MN8131,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Rashaant,Рашаант,MN6328,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Rashaant,Рашаант,MN6725,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Renchinlxu'mbe,Рэнчинлхүмбэ,MN6728,Renchinlxumbe,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sagil,Сагил,MN8537,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sagsai,Сагсай,MN8328,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sainshand,Сайншанд,MN4401,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Saintsagaan,Сайнцагаан,MN4801,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Saixan,Сайхан,MN4331,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Saixan,Сайхан,MN6331,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Saixan-Ovoo,Сайхан-Овоо,MN4834,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Saixandulaan,Сайхандулаан,MN4428,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sant,Сант,MN4334,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sant,Сант,MN6237,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Santmargac,Сантмаргац,MN8134,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Selenge,Сэлэнгэ,MN6334,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sergelen,Сэргэлэн,MN2125,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sergelen,Сэргэлэн,MN4167,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sevrei,Сэврэй,MN4628,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Shaamar,Шаамар,MN4349,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sharga,Шарга,MN8249,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sharyngol,Шарын гол,MN4510,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Shilu'ustei,Шилүүстэй,MN8164,Shiluustei,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Shine-Ider,Шинэ-Идэр,MN6764,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Shinejinst,Шинэжинст,MN6455,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Shiveegovi,Шивээговь,MN4207,,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Songino,Сонгино,MN8137,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Songinoxairxan,Сонгинохайрхан,MN1116,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Su'mber,Сүмбэр,MN4164,Sumber,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Su'mber,Сүмбэр,MN4201,Sumber,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Su'xbaatar,Сүхбаатар,MN1119,Suxbaatar,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Su'xbaatar,Сүхбаатар,MN2222,Suxbaatar,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Su'xbaatar,Сүхбаатар,MN4301,Suxbaatar,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Taishir,Тайшир,MN8225,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Taragt,Тарагт,MN6240,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tarialan,Тариалан,MN6731,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tarialan,Тариалан,MN8540,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tariat,Тариат,MN6525,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Telmen,Тэлмэн,MN8146,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tes,Тэс,MN8149,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tes,Тэс,MN8546,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Teshig,Тэшиг,MN6337,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
To'grog,Төгрөг,MN6243,Togrog,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
To'grog,Төгрөг,MN8231,Togrog,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
To'morbulag,Төмөрбулаг,MN6737,Tomorbulag,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
To'vshru'ulex,Төвшрүүлэх,MN6528,Tovshruulex,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tolbo,Толбо,MN8331,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tonkhil,Тонхил,MN8228,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tosoncengel,Тосонцэнгэл,MN6734,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tosoncengel,Тосонцэнгэл,MN8140,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'devtei,Түдэвтэй,MN8143,Tudevtei,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'mencogt,Түмэнцогт,MN2228,Tumencogt,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'nel,Түнэл,MN6740,Tunel,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'rgen,Түргэн,MN8543,Turgen,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'shig,Түшиг,MN4337,Tushig,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Tu'vshinshiree,Түвшинширээ,MN2225,Tuvshinshiree,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
U'yench,Үенч,MN8437,Uyench,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ugtaalcaidam,Угтаалцайдам,MN4170,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ulaan uul,Улаан-Уул,MN6743,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ulaanbadrax,Улаанбадрах,MN4431,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ulaangom,Улаангом,MN8501,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ulaanxus,Улаанхус,MN8334,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Uliastai,Улиастай,MN8101,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Urgamal,Ургамал,MN8152,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Uulbayan,Уулбаян,MN2231,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Uyanga,Уянга,MN6246,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xairxan,Хайрхан,MN6531,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xairxandulaan,Хайрхандулаан,MN6249,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xaliun,Халиун,MN8234,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xalx gol,Халхгол,MN2128,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xalzan,Халзан,MN2234,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xan-Uul,Хан-Уул,MN1122,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xanbogd,Ханбогд,MN4631,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xangai,Хангай,MN6534,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xangal,Хангал,MN6340,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xanx,Ханх,MN6746,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xanxongor,Ханхонгор,MN4634,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xarxorin,Хархорин,MN6252,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xashaat,Хашаат,MN6537,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xatanbulag,Хатанбулаг,MN4434,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xerlen,Хэрлэн,MN2301,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xishig-O'ndor,Хишиг-өндөр,MN6343,Xishig-Ondor,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xo'lonbuir,Хөлөнбуйр,MN2131,Xolonbuir,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xo'vsgol,Хөвсгөл,MN4437,Xovsgol,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xo'xmorit,Хөхморьт,MN8237,Xoxmorit,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xongor,Хонгор,MN4507,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xotont,Хотонт,MN6540,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xovd,Ховд,MN8440,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xovd,Ховд,MN8549,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xu'der,Хүдэр,MN4340,Xuder,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xu'reemaral,Хүрээмарал,MN6452,Xureemaral,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xu'rmen,Хүрмэн,MN4637,Xurmen,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xujirt,Хужирт,MN6255,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xuld,Хулд,MN4837,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xushaat,Хушаат,MN4343,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xutag-O'ndor,Хутаг-Өндөр,MN6346,Xutag-Ondor,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Xyargas,Хяргас,MN8552,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Yaruu,Яруу,MN8170,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Yero'o,Ерөө,MN4313,Yeroo,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Yeso'nbulag,Есөнбулаг,MN8201,Yesonbulag,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Yeso'nzu'il,Есөн зүйл,MN6225,Yesonzuil,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zaamar,Заамар,MN4152,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zag,Заг,MN6446,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zamyn U'ud,Замын-Үүд,MN4416,Zamyn Uud,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zavxan,Завхан,MN8513,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zavxanmandal,Завханмандал,MN8119,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zereg,Зэрэг,MN8422,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zu'unbayan-Ulaan,Зүүнбаян-Улаан,MN6228,Zuunbayan-Ulaan,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zu'unburen,Зүүнбүрэн,MN4319,Zuunburen,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zu'ungovi,Зүүнговь,MN8516,Zuungovi,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zu'unxangai,Зүүнхангай,MN8519,Zuunxangai,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zuunmod,Зуунмод,MN4101,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
