admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bayan-Uul,Баян-Уул,MN8207,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayan agt,Баян-Агт,MN6304,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanbulag,Баянбулаг,MN6407,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayancagaan,Баянцагаан,MN4131,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayancagaan,Баянцагаан,MN6422,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanchandmani,Баянчандмань,MN4137,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayancogt,Баянцогт,MN4134,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayandalai,Баяндалай,MN4604,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayandelger,Баяндэлгэр,MN2207,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayandelger,Баяндэлгэр,MN4119,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayandun,Баяндун,MN2104,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayangol,Баянгол,MN1107,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayangol,Баянгол,MN4310,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayangol,Баянгол,MN6210,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayangovi,Баянговь,MN6410,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanjargalan,Баянжаргалан,MN4122,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanjargalan,Баянжаргалан,MN4807,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanlig,Баянлиг,MN6413,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanmo'nx,Баянмөнх,MN2313,Bayanmonx,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
