#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Addis Ababa,ET14,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Afar,ET02,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Amhara,ET03,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Benishangul Gumz,ET06,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Dire Dawa,ET15,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Gambela,ET12,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Harari,ET13,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Oromia,ET04,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Sidama,ET16,,,,Ethiopia,ET,2019-08-19,2020-10-08,
SNNP,ET07,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Somali,ET05,,,,Ethiopia,ET,2019-08-19,2020-10-08,
Tigray,ET01,,,,Ethiopia,ET,2019-08-19,2020-10-08,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
