#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ar,#adm1+name+alt2+i_ar,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Boujdour,,EH01,,Bojador,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Es Semara,,EH02,,Smara,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Laayoune,,EH03,,El Aaiún,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Oued el Dahab,,EH04,,Ed Dakhla,Oued Eddahab,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
