#adm2+name+i_en,#adm2+name+i_fa,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_fa,#adm2+name+alt2+i_fa,#adm1+name+i_en,#adm1+name+i_fa,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fa,#country+code+v_iso2,#date+start,#date+updated,#date+end
Booeino Miyandasht,شهرستان بوئین ومیاندشت,IR012004,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Chadegan,شهرستان چادگان,IR012005,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Dehaghan,شهرستان دهاقان,IR012006,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Falavarjan,شهرستان فلاورجان,IR012007,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Faridan,شهرستان فریدن,IR012008,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Fereydunshahr,شهرستان فریدون شهر,IR012009,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Golpayegan,شهرستان گلپایگان,IR012010,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Isfahan,شهرستان اصفهان,IR012011,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kashan,شهرستان کاشان,IR012012,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Khansar,شهرستان خوانسار,IR012013,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Khomeinishahr,شهرستان خمینی شهر,IR012014,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Khorobiyabanak,شهرستان خوروبیابانک,IR012015,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Lenjan,شهرستان لنجان,IR012016,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Mobarakeh,شهرستان مبارکه,IR012017,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Nain,شهرستان نائین,IR012018,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Najafabad,شهرستان نجف آباد,IR012019,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Natanz,شهرستان نطنز,IR012020,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Shahreza,شهرستان شهرضا,IR012021,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Semirom,شهرستان سمیرم,IR012022,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Shahinshahro Meymeh,شهرستان شاهین شهرومیمه,IR012023,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Tiran-o-Korun,شهرستان تیران وکرون,IR012024,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Anar,شهرستان انار,IR013001,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Anbarabad,شهرستان عنبرآباد,IR013002,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Arzuiyeh,شهرستان ارزوئیه,IR013003,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Baft,شهرستان بافت,IR013004,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bam,شهرستان بم,IR013005,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bardsir,شهرستان بردسیر,IR013006,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Fahraj,شهرستان فهرج,IR013007,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Faryab,شهرستان فاریاب,IR013008,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Ghaleye-Ganj,شهرستان قلعه‌گنج,IR013009,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Jiroft,شهرستان جیرفت,IR013010,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kahnuj,شهرستان کهنوج,IR013011,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kerman,شهرستان کرمان,IR013012,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kuhbonan,شهرستان کوهبنان,IR013013,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Manujan,شهرستان منوجان,IR013014,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Normashir,شهرستان نرماشیر,IR013015,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Rabar,شهرستان رابر,IR013016,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Rafsanjan,شهرستان رفسنجان,IR013017,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Ravar,شهرستان راور,IR013018,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Rigan,شهرستان ریگان,IR013019,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Roudbar-e-Jonub,شهرستان رودبار جنوب,IR013020,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Shahr-e-Babak,شهرستان شهربابک,IR013021,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Sirjan,شهرستان سیرجان,IR013022,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Zarand,شهرستان زرند,IR013023,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Dalaho,شهرستان دالاهو,IR014001,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Islamabad-e-Gharb,شهرستان اسلام آبادغرب,IR014002,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Gilan-e-Gharb,شهرستان گیلانغرب,IR014003,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Harsin,شهرستان هرسین,IR014004,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Javanrud,شهرستان جوانرود,IR014005,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kangavar,شهرستان کنگاور,IR014006,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kermanshah,شهرستان کرمانشاه,IR014007,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Paveh,شهرستان پاوه,IR014008,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Qasr-e-Shirin,شهرستان قصر شیرین,IR014009,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Ravansar,شهرستان روانسر,IR014010,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Sahneh,شهرستان صحنه,IR014011,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Solas-e-Babajani,شهرستان ثلاث باباجانی,IR014012,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Sarpol-e-Zahab,شهرستان سرپل ذهاب,IR014013,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
