#adm2+name+i_en,#adm2+name+i_my,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_my,#adm2+name+alt2+i_my,#adm1+name+i_en,#adm1+name+i_my,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_my,#country+code+v_iso2,#date+start,#date+updated,#date+end
Myitkyina,မြစ်ကြီးနားခရိုင်,MM001D001,,,,,,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mohnyin,မိုးညှင်းခရိုင်,MM001D002,,,,,,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Bhamo,ဗန်းမော်ခရိုင်,MM001D003,,,,,,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Puta-O,ပူတာအိုခရိုင်,MM001D004,,,,,,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,,,,,,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Bawlake,ဘောလခဲခရိုင်,MM002D002,,,,,,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpa-An,ဘားအံခရိုင်,MM003D001,,,,,,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myawaddy,မြဝတီခရိုင်,MM003D002,,,,,,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kawkareik,ကော့ကရိတ်ခရိုင်,MM003D003,,,,,,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpapun,ဖာပွန်ခရိုင်,MM003D004,,,,,,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Falam,ဖလမ်းခရိုင်,MM004D001,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
