#adm2+name+i_en,#adm2+name+i_sq,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_sq,#adm2+name+alt2+i_sq,#adm1+name+i_en,#adm1+name+i_sq,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_sq,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bashkia Berat,Bashkia Berat,AL0101,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kucove,Bashkia Kuçovë,AL0102,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Polican,Bashkia Poliçan,AL0103,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Skrapar,Bashkia Skraparit,AL0104,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Bulqize,Bashkia Bulqizë,AL0201,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Diber,Bashkia Dibër,AL0202,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Klos,Bashkia Klos,AL0203,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Mat,Bashkia Mat,AL0204,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Durres,Bashkia Durrës,AL0301,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kruje,Bashkia Krujë,AL0302,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Shijak,Bashkia Shijak,AL0303,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Belsh,Bashkia Belsh,AL0401,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Cerrik,Bashkia Cërrik,AL0402,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
