#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:222:2:101,101,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:101,Ahuachapán,SV0101,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:102,102,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:102,Apaneca,SV0102,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:103,103,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:103,Atiquizaya,SV0103,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:104,104,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:104,Concepción de Ataco,SV0104,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:105,105,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:105,El Refugio,SV0105,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:106,106,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:106,Guaymango,SV0106,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:107,107,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:107,Jujutla,SV0107,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:108,108,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:108,San Francisco Menéndez,SV0108,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:109,109,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:109,San Lorenzo,SV0109,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:110,110,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:110,San Pedro Puxtla,SV0110,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:111,111,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:111,Tacuba,SV0111,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:112,112,1603:45:16:222:0,1603:45:16:222:1:1,1603:45:16:222:2:112,Turín,SV0112,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:201,201,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:201,Cinquera,SV0201,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:202,202,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:202,Guacotecti,SV0202,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:203,203,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:203,Ilobasco,SV0203,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:204,204,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:204,Jutiapa,SV0204,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:205,205,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:205,San Isidro,SV0205,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
