#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:566:1:1,1,1603:45:16:566:0,1603:45:16:566:1:1,Abia,NG001,Abia,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:2,2,1603:45:16:566:0,1603:45:16:566:1:2,Adamawa,NG002,Adamawa,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:3,3,1603:45:16:566:0,1603:45:16:566:1:3,Akwa Ibom,NG003,Akwa Ibom,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:4,4,1603:45:16:566:0,1603:45:16:566:1:4,Anambra,NG004,Anambra,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:5,5,1603:45:16:566:0,1603:45:16:566:1:5,Bauchi,NG005,Bauchi,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:6,6,1603:45:16:566:0,1603:45:16:566:1:6,Bayelsa,NG006,Bayelsa,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:7,7,1603:45:16:566:0,1603:45:16:566:1:7,Benue,NG007,Benue,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:8,8,1603:45:16:566:0,1603:45:16:566:1:8,Borno,NG008,Borno,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:9,9,1603:45:16:566:0,1603:45:16:566:1:9,Cross River,NG009,Cross River,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:10,10,1603:45:16:566:0,1603:45:16:566:1:10,Delta,NG010,Delta,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:11,11,1603:45:16:566:0,1603:45:16:566:1:11,Ebonyi,NG011,Ebonyi,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:12,12,1603:45:16:566:0,1603:45:16:566:1:12,Edo,NG012,Edo,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:13,13,1603:45:16:566:0,1603:45:16:566:1:13,Ekiti,NG013,Ekiti,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:14,14,1603:45:16:566:0,1603:45:16:566:1:14,Enugu,NG014,Enugu,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:15,15,1603:45:16:566:0,1603:45:16:566:1:15,Federal Capital Territory,NG015,Federal Capital Territory,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:16,16,1603:45:16:566:0,1603:45:16:566:1:16,Gombe,NG016,Gombe,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:17,17,1603:45:16:566:0,1603:45:16:566:1:17,Imo,NG017,Imo,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:18,18,1603:45:16:566:0,1603:45:16:566:1:18,Jigawa,NG018,Jigawa,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:19,19,1603:45:16:566:0,1603:45:16:566:1:19,Kaduna,NG019,Kaduna,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:20,20,1603:45:16:566:0,1603:45:16:566:1:20,Kano,NG020,Kano,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:21,21,1603:45:16:566:0,1603:45:16:566:1:21,Katsina,NG021,Katsina,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:22,22,1603:45:16:566:0,1603:45:16:566:1:22,Kebbi,NG022,Kebbi,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:23,23,1603:45:16:566:0,1603:45:16:566:1:23,Kogi,NG023,Kogi,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:24,24,1603:45:16:566:0,1603:45:16:566:1:24,Kwara,NG024,Kwara,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:25,25,1603:45:16:566:0,1603:45:16:566:1:25,Lagos,NG025,Lagos,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:26,26,1603:45:16:566:0,1603:45:16:566:1:26,Nasarawa,NG026,Nasarawa,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:27,27,1603:45:16:566:0,1603:45:16:566:1:27,Niger,NG027,Niger,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:28,28,1603:45:16:566:0,1603:45:16:566:1:28,Ogun,NG028,Ogun,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:29,29,1603:45:16:566:0,1603:45:16:566:1:29,Ondo,NG029,Ondo,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:30,30,1603:45:16:566:0,1603:45:16:566:1:30,Osun,NG030,Osun,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:31,31,1603:45:16:566:0,1603:45:16:566:1:31,Oyo,NG031,Oyo,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:32,32,1603:45:16:566:0,1603:45:16:566:1:32,Plateau,NG032,Plateau,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:33,33,1603:45:16:566:0,1603:45:16:566:1:33,Rivers,NG033,Rivers,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:34,34,1603:45:16:566:0,1603:45:16:566:1:34,Sokoto,NG034,Sokoto,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:35,35,1603:45:16:566:0,1603:45:16:566:1:35,Taraba,NG035,Taraba,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:36,36,1603:45:16:566:0,1603:45:16:566:1:36,Yobe,NG036,Yobe,,,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:37,37,1603:45:16:566:0,1603:45:16:566:1:37,Zamfara,NG037,Zamfara,,,Nigeria,NG,2017-02-23,2020-04-22,
