qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:566:1:1,1,1603:45:16:566:0,1603:45:16:566:1:1,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:2,2,1603:45:16:566:0,1603:45:16:566:1:2,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:3,3,1603:45:16:566:0,1603:45:16:566:1:3,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:4,4,1603:45:16:566:0,1603:45:16:566:1:4,Anambra,NG004,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:5,5,1603:45:16:566:0,1603:45:16:566:1:5,Bauchi,NG005,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:6,6,1603:45:16:566:0,1603:45:16:566:1:6,Bayelsa,NG006,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:7,7,1603:45:16:566:0,1603:45:16:566:1:7,Benue,NG007,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:8,8,1603:45:16:566:0,1603:45:16:566:1:8,Borno,NG008,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:9,9,1603:45:16:566:0,1603:45:16:566:1:9,Cross River,NG009,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:10,10,1603:45:16:566:0,1603:45:16:566:1:10,Delta,NG010,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:11,11,1603:45:16:566:0,1603:45:16:566:1:11,Ebonyi,NG011,Nigeria,NG,2017-02-23,2020-04-22,
