#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_swa+is_latn,#adm2+name+alt2+i_swa+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:834:2:101,101,Kondoa,,TZ0101,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:102,102,Mpwapwa,,TZ0102,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:103,103,Kongwa,,TZ0103,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:104,104,Chamwino,,TZ0104,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:105,105,Dodoma Urban,,TZ0105,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:106,106,Bahi,,TZ0106,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:107,107,Chemba,,TZ0107,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:201,201,Monduli,,TZ0201,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:202,202,Meru,,TZ0202,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:203,203,Arusha Urban,,TZ0203,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:204,204,Karatu,,TZ0204,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:205,205,Ngorongoro,,TZ0205,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:206,206,Arusha,,TZ0206,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:207,207,Longido,,TZ0207,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:301,301,Rombo,,TZ0301,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:302,302,Mwanga,,TZ0302,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:303,303,Same,,TZ0303,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:304,304,Moshi,,TZ0304,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:305,305,Hai,,TZ0305,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:306,306,Moshi Urban,,TZ0306,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:307,307,Siha,,TZ0307,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:401,401,Lushoto,,TZ0401,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:402,402,Korogwe,,TZ0402,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:403,403,Muheza,,TZ0403,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:404,404,Tanga Urban,,TZ0404,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:405,405,Pangani,,TZ0405,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:406,406,Handeni,,TZ0406,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
