#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_swa+is_latn,#adm2+name+alt2+i_swa+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:834:2:101,101,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:101,Kondoa,,TZ0101,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:102,102,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:102,Mpwapwa,,TZ0102,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:103,103,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:103,Kongwa,,TZ0103,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:104,104,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:104,Chamwino,,TZ0104,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:105,105,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:105,Dodoma Urban,,TZ0105,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:106,106,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:106,Bahi,,TZ0106,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:107,107,1603:45:16:834:0,1603:45:16:834:1:1,1603:45:16:834:2:107,Chemba,,TZ0107,,,,,,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:201,201,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:201,Monduli,,TZ0201,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:202,202,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:202,Meru,,TZ0202,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:203,203,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:203,Arusha Urban,,TZ0203,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
