qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,sqi-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,sqi-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,sqi-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,sqi-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:8:3:10101,10101,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,1603:45:16:8:3:10101,Berat,Berat,AL010101,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10102,10102,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,1603:45:16:8:3:10102,Otllak,Otllak,AL010102,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10103,10103,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,1603:45:16:8:3:10103,Roshnik,Roshnik,AL010103,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10104,10104,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,1603:45:16:8:3:10104,Sinje,Sinjë,AL010104,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10105,10105,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,1603:45:16:8:3:10105,Velabisht,Velabisht,AL010105,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10201,10201,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:102,1603:45:16:8:3:10201,Kozare,Kozarë,AL010201,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10202,10202,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:102,1603:45:16:8:3:10202,Kucove,Kuçovë,AL010202,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10203,10203,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:102,1603:45:16:8:3:10203,Lumas,Lumas,AL010203,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10204,10204,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:102,1603:45:16:8:3:10204,Perondi,Perondi,AL010204,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10301,10301,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:103,1603:45:16:8:3:10301,Polican,Poliçan,AL010301,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10302,10302,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:103,1603:45:16:8:3:10302,Terpan,Tërpan,AL010302,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10303,10303,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:103,1603:45:16:8:3:10303,Vertop,Vertop,AL010303,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10401,10401,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10401,Bogove,Bogovë,AL010401,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10402,10402,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10402,Cepan,Çepan,AL010402,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10403,10403,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10403,Corovode,Çorovodë,AL010403,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10404,10404,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10404,Gjerbes,Gjerbes,AL010404,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10405,10405,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10405,Leshnje,Leshnjë,AL010405,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10406,10406,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10406,Potom,Potom,AL010406,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
