#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:704:2:10101,10101,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10101,Ba Dinh,Quận Ba Đình,VN10101,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10103,10103,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10103,Tay Ho,Quận Tây Hồ,VN10103,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10105,10105,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10105,Hoan Kiem,Quận Hoàn Kiếm,VN10105,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10107,10107,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10107,Hai Ba Trung,Quận Hai Bà Trưng,VN10107,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10108,10108,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10108,Hoang Mai,Quận Hoàng Mai,VN10108,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10109,10109,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10109,Dong Da,Quận Đống Đa,VN10109,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10111,10111,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10111,Thanh Xuan,Quận Thanh Xuân,VN10111,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10113,10113,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10113,Cau Giay,Quận Cầu Giấy,VN10113,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10114,10114,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10114,Long Bien,Quận Long Biên,VN10114,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10115,10115,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10115,Soc Son,Huyện Sóc Sơn,VN10115,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10117,10117,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10117,Dong Anh,Huyện Đông Anh,VN10117,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10119,10119,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10119,Gia Lam,Huyện Gia Lâm,VN10119,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10121,10121,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10121,Nam Tu Liem,Quận Nam Từ Liêm,VN10121,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10123,10123,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10123,Thanh Tri,Huyện Thanh Trì,VN10123,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10125,10125,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10125,Ha Dong,Quận Hà Đông,VN10125,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10127,10127,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10127,Son Tay,Thị xã Sơn Tây,VN10127,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10129,10129,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10129,Ba Vi,Huyện Ba Vì,VN10129,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10131,10131,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10131,Phuc Tho,Huyện Phúc Thọ,VN10131,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10133,10133,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10133,Dan Phuong,Huyện Đan Phượng,VN10133,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10135,10135,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10135,Thach That,Huyện Thạch Thất,VN10135,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10137,10137,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10137,Hoai Duc,Huyện Hoài Đức,VN10137,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10139,10139,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10139,Quoc Oai,Huyện Quốc Oai,VN10139,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10141,10141,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10141,Chuong My,Huyện Chương Mỹ,VN10141,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10143,10143,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10143,Thanh Oai,Huyện Thanh Oai,VN10143,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10145,10145,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10145,Thuong Tin,Huyện Thường Tín,VN10145,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10147,10147,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10147,My Duc,Huyện Mỹ Đức,VN10147,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10149,10149,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10149,Ung Hoa,Huyện Ứng Hòa,VN10149,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10151,10151,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10151,Phu Xuyen,Huyện Phú Xuyên,VN10151,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10153,10153,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10153,Me Linh,Huyện Mê Linh,VN10153,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10155,10155,1603:45:16:704:0,1603:45:16:704:1:101,1603:45:16:704:2:10155,Bac Tu Liem,Quận Bắc Từ Liêm,VN10155,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10301,10301,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10301,Hong Bang,Quận Hồng Bàng,VN10301,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10303,10303,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10303,Ngo Quyen,Quận Ngô Quyền,VN10303,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10305,10305,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10305,Le Chan,Quận Lê Chân,VN10305,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10307,10307,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10307,Kien An,Quận Kiến An,VN10307,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10309,10309,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10309,Do Son,Quận Đồ Sơn,VN10309,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10310,10310,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10310,Duong Kinh,Quận Dương Kinh,VN10310,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10311,10311,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10311,Thuy Nguyen,Huyện Thủy Nguyên,VN10311,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10313,10313,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10313,An Duong,Huyện An Dương,VN10313,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10314,10314,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10314,Hai An,Quận Hải An,VN10314,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10315,10315,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10315,An Lao,Huyện An Lão,VN10315,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10317,10317,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10317,Kien Thuy,Huyện Kiến Thụy,VN10317,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10319,10319,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10319,Tien Lang,Huyện Tiên Lãng,VN10319,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10321,10321,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10321,Vinh Bao,Huyện Vĩnh Bảo,VN10321,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10323,10323,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10323,Cat Hai,Huyện Cát Hải,VN10323,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10325,10325,1603:45:16:704:0,1603:45:16:704:1:103,1603:45:16:704:2:10325,Bach Long Vi,Huyện Bạch Long Vĩ,VN10325,,,,,,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10401,10401,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10401,Vinh Yen,TP. Vĩnh Yên,VN10401,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10402,10402,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10402,Phuc Yen,Thị xã Phúc Yên,VN10402,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10403,10403,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10403,Lap Thach,Huyện Lập Thạch,VN10403,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10404,10404,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10404,Tam Dao,Huyện Tam Đảo,VN10404,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10405,10405,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10405,Tam Duong,Huyện Tam Dương,VN10405,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10406,10406,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10406,Binh Xuyen,Huyện Bình Xuyên,VN10406,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10407,10407,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10407,Vinh Tuong,Huyện Vĩnh Tường,VN10407,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10409,10409,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10409,Yen Lac,Huyện Yên Lạc,VN10409,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10411,10411,1603:45:16:704:0,1603:45:16:704:1:104,1603:45:16:704:2:10411,Song Lo,Huyện Sông Lô,VN10411,,,,,,Vinh Phuc,Vĩnh Phúc,VN104,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10601,10601,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10601,Bac Ninh,TP. Bắc Ninh,VN10601,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10603,10603,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10603,Yen Phong,Huyện Yên Phong,VN10603,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10605,10605,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10605,Que Vo,Huyện Quế Võ,VN10605,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10607,10607,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10607,Tien Du,Huyện Tiên Du,VN10607,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10608,10608,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10608,Tu Son,Thị xã Từ Sơn,VN10608,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10609,10609,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10609,Thuan Thanh,Huyện Thuận Thành,VN10609,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10611,10611,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10611,Luong Tai,Huyện Lương Tài,VN10611,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10612,10612,1603:45:16:704:0,1603:45:16:704:1:106,1603:45:16:704:2:10612,Gia Binh,Huyện Gia Bình,VN10612,,,,,,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10701,10701,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10701,Hai Duong,TP. Hải Dương,VN10701,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10703,10703,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10703,Chi Linh,Thị xã Chí Linh,VN10703,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10705,10705,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10705,Nam Sach,Huyện Nam Sách,VN10705,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10707,10707,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10707,Thanh Ha,Huyện Thanh Hà,VN10707,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10709,10709,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10709,Kinh Mon,Huyện Kinh Môn,VN10709,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10711,10711,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10711,Kim Thanh,Huyện Kim Thành,VN10711,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
