#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt0,#meta+ERROR+adm4+code+v_pcode,#meta+ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#meta+ERROR+adm3+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:710:4:1011001,1011001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011001,001,ZA1011001,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011002,1011002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011002,002,ZA1011002,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011003,1011003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011003,003,ZA1011003,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011004,1011004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011004,004,ZA1011004,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011005,1011005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011005,005,ZA1011005,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011006,1011006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011006,006,ZA1011006,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011007,1011007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011007,007,ZA1011007,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1011008,1011008,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1011,1603:45:16:710:4:1011008,008,ZA1011008,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1012001,1012001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012001,001,ZA1012001,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1012002,1012002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012002,002,ZA1012002,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1012003,1012003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012003,003,ZA1012003,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1012004,1012004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012004,004,ZA1012004,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1012005,1012005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012005,005,ZA1012005,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
