qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:706:1:11,11,1603:45:16:706:0,1603:45:16:706:1:11,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:12,12,1603:45:16:706:0,1603:45:16:706:1:12,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:13,13,1603:45:16:706:0,1603:45:16:706:1:13,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:14,14,1603:45:16:706:0,1603:45:16:706:1:14,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:15,15,1603:45:16:706:0,1603:45:16:706:1:15,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:16,16,1603:45:16:706:0,1603:45:16:706:1:16,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:17,17,1603:45:16:706:0,1603:45:16:706:1:17,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:18,18,1603:45:16:706:0,1603:45:16:706:1:18,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:19,19,1603:45:16:706:0,1603:45:16:706:1:19,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:20,20,1603:45:16:706:0,1603:45:16:706:1:20,Hiraan,SO20,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:21,21,1603:45:16:706:0,1603:45:16:706:1:21,Middle Shabelle,SO21,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:22,22,1603:45:16:706:0,1603:45:16:706:1:22,Banadir,SO22,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:23,23,1603:45:16:706:0,1603:45:16:706:1:23,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:24,24,1603:45:16:706:0,1603:45:16:706:1:24,Bay,SO24,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:25,25,1603:45:16:706:0,1603:45:16:706:1:25,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:26,26,1603:45:16:706:0,1603:45:16:706:1:26,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:27,27,1603:45:16:706:0,1603:45:16:706:1:27,Middle Juba,SO27,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:28,28,1603:45:16:706:0,1603:45:16:706:1:28,Lower Juba,SO28,Somalia,SO,2014-06-06,2021-09-30,
