#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:706:1:11,11,Awdal,SO11,Awdal,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:12,12,Woqooyi Galbeed,SO12,Woqooyi Galbeed,West Galbeed,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:13,13,Togdheer,SO13,Togdheer,Tog-dheer,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:14,14,Sool,SO14,Sool,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:15,15,Sanaag,SO15,Sanaag,Sanag,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:16,16,Bari,SO16,Bari,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:17,17,Nugaal,SO17,Nugaal,Nugal,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:18,18,Mudug,SO18,Mudug,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:19,19,Galgaduud,SO19,Galgaduud,Galgadud,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:20,20,Hiraan,SO20,Hiraan,Hiiraan,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:21,21,Middle Shabelle,SO21,Middle Shabelle,Shabeellaha Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:22,22,Banadir,SO22,Banadir,Banaadir,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:23,23,Lower Shabelle,SO23,Lower Shabelle,Shabeellaha Hoose,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:24,24,Bay,SO24,Bay,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:25,25,Bakool,SO25,Bakool,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:26,26,Gedo,SO26,Gedo,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:27,27,Middle Juba,SO27,Middle Juba,Jubbada Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:28,28,Lower Juba,SO28,Lower Juba,Jubbada Hoose,,Somalia,SO,2014-06-06,2021-09-30,
