#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:706:1:11,11,1603:45:16:706:0,1603:45:16:706:1:11,Awdal,SO11,Awdal,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:12,12,1603:45:16:706:0,1603:45:16:706:1:12,Woqooyi Galbeed,SO12,Woqooyi Galbeed,West Galbeed,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:13,13,1603:45:16:706:0,1603:45:16:706:1:13,Togdheer,SO13,Togdheer,Tog-dheer,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:14,14,1603:45:16:706:0,1603:45:16:706:1:14,Sool,SO14,Sool,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:15,15,1603:45:16:706:0,1603:45:16:706:1:15,Sanaag,SO15,Sanaag,Sanag,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:16,16,1603:45:16:706:0,1603:45:16:706:1:16,Bari,SO16,Bari,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:17,17,1603:45:16:706:0,1603:45:16:706:1:17,Nugaal,SO17,Nugaal,Nugal,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:18,18,1603:45:16:706:0,1603:45:16:706:1:18,Mudug,SO18,Mudug,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:19,19,1603:45:16:706:0,1603:45:16:706:1:19,Galgaduud,SO19,Galgaduud,Galgadud,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:20,20,1603:45:16:706:0,1603:45:16:706:1:20,Hiraan,SO20,Hiraan,Hiiraan,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:21,21,1603:45:16:706:0,1603:45:16:706:1:21,Middle Shabelle,SO21,Middle Shabelle,Shabeellaha Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:22,22,1603:45:16:706:0,1603:45:16:706:1:22,Banadir,SO22,Banadir,Banaadir,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:23,23,1603:45:16:706:0,1603:45:16:706:1:23,Lower Shabelle,SO23,Lower Shabelle,Shabeellaha Hoose,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:24,24,1603:45:16:706:0,1603:45:16:706:1:24,Bay,SO24,Bay,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:25,25,1603:45:16:706:0,1603:45:16:706:1:25,Bakool,SO25,Bakool,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:26,26,1603:45:16:706:0,1603:45:16:706:1:26,Gedo,SO26,Gedo,,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:27,27,1603:45:16:706:0,1603:45:16:706:1:27,Middle Juba,SO27,Middle Juba,Jubbada Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:1:28,28,1603:45:16:706:0,1603:45:16:706:1:28,Lower Juba,SO28,Lower Juba,Jubbada Hoose,,Somalia,SO,2014-06-06,2021-09-30,
