#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip402,#item+rem+i_qcc+is_zxxx+ix_wikip1566,#item+rem+i_qcc+is_zxxx+ix_wikip1937,#item+rem+i_qcc+is_zxxx+ix_wikip6555,#item+rem+i_qcc+is_zxxx+ix_wikip8119
1304062,Q22060342,332466,3662075|6319345,,98477,
1304104,Q1794336,332485,3662009,,2798,
1304203,Q975545,332487,6319346|3661944,,2810,
1304237,Q1793355,332486,3661894|6319347,,98515,
1304260,Q517607,332489,3661756|6319348,,98493,
1304302,Q1816370,332470,3385670|6319349,,2852,
1304401,Q1793833,332472,6318840|6319350,,2879,
1400027,Q1646965,326296,6316379,,3042,
1400050,Q1763240,326291,6324249,,3050,
1400100,Q181056,326286,3664980,,3018,
1400159,Q1763254,326289,6316619|6319353,,3077,
1400175,Q1646914,326284,6316774,,3069,
1400209,Q772563,326293,3664684,,3034,
1400233,Q748315,326290,6316814,,3000,
1400282,Q1786374,326294,6324251|6317298,,3026,
1400308,Q1637423,326297,6317658,,3093,
1400407,Q1750038,326282,6319357|6317687,,3115,
1400456,Q1647045,326283,6317835,,3123,
1400472,Q1646932,326292,6318186,,3085,
1400506,Q1646960,326285,6318447,,3131,
1400605,Q1751337,326295,6319360|6318534,,3158,
1400704,Q1637434,326288,6318824,,3107,
1500107,Q1615298,185660,3408424,,4014,
1500131,Q942803,185560,6319363,,4502,
1500206,Q1804839,185641,6319364|3408386,,4030,
1500305,Q389536,185616,3408269,,4057,
1500347,Q1804899,185622,6316312,,4260,
1500404,Q2289869,185674,6319367,,4073,
1500503,Q22067014,185668,6324182|3407903,BRAMM,4090,
1500602,Q434285,185554,3407882,,4111,
1500701,Q1804346,185578,3407687,,4138,
1500800,Q485887,185610,6319369,,4154,
1500859,Q486142,185572,6319370,,4723,
1500909,Q1804338,90129,3406961|6319371,,4170,
1500958,Q2008798,185553,6316465,,4340,
1501006,Q790342,185570,3406946,,4197,
1501105,Q1804902,185636,6319373,,4219,
1501204,Q804068,185671,3406844,,4235,
1501253,Q1804877,185658,6316495,,4588,
1501303,Q2009595,185661,6319376,,4251,
1501402,Q12829733,185567,3405870,,4278,
1501451,Q609824,185582,6319378,,4804,
1501501,Q1804361,185571,3405792|6319379,,4294,
1501576,Q2130429,185590,6316607,,4049,
1501600,Q2078868,90139,6319381,,4316,
1501709,Q320487,90128,3405004,,4332,
1501725,Q2008779,185604,6319382,,4227,
1501758,Q1975881,185595,6316651,,5932,
1501782,Q2008139,185672,6316653,,4448,
1501808,Q1804770,185663,3404817|6319385,,4359,
1501907,Q2009108,185609,3404760|6319386,,4375,
1501956,Q947745,185645,6319387,,4766,
1502004,Q1804813,185614,3404394,,4391,
1502103,Q1805206,185644,6319389|3403697,,4413,
1502152,Q2009474,185626,6316757,,4707,
1502202,Q1947031,90136,3403208|6319391,,4430,
1502301,Q955914,2702845,3403127|6319392,,4456,
1502400,Q984581,185664,3402582,,4472,
1502509,Q1899080,185548,6319393|3402199,,4499,
1502608,Q2008619,185598,6319394|3401973,,4510,
1502707,Q1788037,185643,3401845,,4537,
1502756,Q2008125,185673,6316906,,5819,
1502764,Q2008271,185615,6316974,,4529,
1502772,Q2008449,185662,6319398,,5851,
1502806,Q2011907,185634,6319399|3401263,,4553,
1502855,Q2008226,185607,6319400,,4740,
1502905,Q1814514,185576,6319401,,4570,
1502939,Q2008541,185640,6317029,,5975,
1502954,Q2008261,185565,6317056,,4120,
1503002,Q2246005,185656,3400488|6319404,,4596,
1503044,Q2008493,185558,6317151,,4561,
1503077,Q2008750,185602,6317188,,5878,
1503093,Q2008317,185650,6317207,,4006,
1503101,Q2011913,185621,3398480|6319408,,4618,
1503200,Q2009058,185585,6319409,,4634,
1503309,Q651613,185630,6319410,,4650,
1503408,Q1880531,185666,3398195,,4677,
1503457,Q675175,185574,6317294,,4189,
1503507,Q2008410,185563,3398014|6319412,,4693,
1503606,Q655734,185625,3397966,,4715,
1503705,Q2008167,185601,6319413|3397851,,4731,
1503754,Q1805252,185577,6319414|3397763,,4200,
1503804,Q1967407,185620,6317351,,4758,
1503903,Q1008242,185618,6319416,,4774,
1504000,Q2008564,185657,3396268|6319417,,4790,
1504059,Q2008401,185589,6319418,,4103,
1504109,Q2008546,185592,6319419,,4812,
1504208,Q509818,185659,3395503,,4839,
1504307,Q2089279,185588,6319421,,4855,
1504406,Q1990477,185649,3395440|6319422,,4871,
1504422,Q1805166,185631,6317548,,4642,
1504455,Q2009048,185581,6317580,,5770,
1504505,Q2011923,185584,6319425,,4898,
1504604,Q2008596,185623,6319426|3394745,,4910,
1504703,Q2008213,185561,3394661|6319427,,4936,
1504752,Q22074332,3049385,8581573,,4863,
1504802,Q2289897,185593,3394605|6319428,,4952,
1504901,Q1804369,185606,3394326|6319429,,4979,
1504950,Q1121422,185573,6319430,,4480,
1504976,Q728098,185679,6317744,,4600,
1505007,Q2009430,2702846,3393829,,4995,
1505031,Q1787759,185651,6319433|6317800,,4383,
1505064,Q769811,185647,6317801,,4421,
1505106,Q577167,185569,6319435,,5010,
1505205,Q2008580,185638,3393762|6319436,,5037,
1505304,Q2011919,185652,3393471|6319437,,5053,
1505403,Q1829502,90140,3393455,,5070,
1505437,Q2008237,185605,6317824,,5959,
1505486,Q592117,185552,6317834,,5916,
1505494,Q2009230,185566,6317853,,4162,
1505502,Q935005,185667,3393105|6319442,,5096,
1505536,Q1806100,185575,6319443|6317872,,5835,
1505551,Q2008624,185608,6317900|6319444,,4308,
1505601,Q2009222,90135,6319445,,5118,
1505635,Q2008277,185629,6317943,,4782,
1505650,Q602405,185676,6317986,,4626,
1505700,Q1804377,185678,3391523|6319448,,5134,
1505809,Q2089210,185632,6319449|3391412,,5150,
1505908,Q2011894,185654,3391387|6319450,,5177,
1506005,Q2009663,185568,6319451,,5193,
1506104,Q2329733,90134,6319452,,5215,
1506112,Q2008521,90132,3391106,,4685,
1506138,Q2381693,185557,6318998|6318107,,5673,
1506161,Q2008301,185549,6319454,,5690,
1506187,Q2008429,185603,6319455,,5738,
1506195,Q2009519,185564,6318194,,5894,
1506203,Q1008198,185586,3389822|6319457,,5231,
1506302,Q1921992,185583,3389780|6319458,,5258,
1506351,Q2009202,185551,6318219,,4243,
1506401,Q640618,185599,3389654,,5274,
1506500,Q2008554,185646,3389590,,5290,
1506559,Q2008573,185628,6318271,,4146,
