#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip402,#item+rem+i_qcc+is_zxxx+ix_wikip1566,#item+rem+i_qcc+is_zxxx+ix_wikip1937,#item+rem+i_qcc+is_zxxx+ix_wikip6555,#item+rem+i_qcc+is_zxxx+ix_wikip8119
2508901,Q1008338,301307,6319057|3395717,,20796,
2509008,Q2009309,301453,3395689|6320353,,20818,
2509057,Q2010733,301298,3395418,,19968,
2509107,Q965785,301409,6320355,,20834,
2509156,Q777156,301389,3395312,,19461,
2509206,Q2079004,301401,6320357,,20850,
2509305,Q727109,301433,3395143,,20877,
2509339,Q2011935,301456,3395113,,19143,
2509370,Q2078731,301294,6317567|6320359,,19488,
2509396,Q2009368,301480,6320360,,19984,
2509404,Q764440,301451,3394669|6320361,,20893,
2509503,Q1808648,301367,6317615,,20915,
2509602,Q2010356,301262,3394557,,20931,
2509701,Q1808426,301352,3394547,,20958,
2509800,Q2341988,301327,6320364|3394238,,20974,
2509909,Q2008665,301473,3394018|6320365,,20990,
2510006,Q2009331,301290,3393968,,21016,
2510105,Q521125,301344,6320367,,21032,
2510204,Q2048449,301358,6320368|3393846,,21059,
2510303,Q658619,301359,3393836,,21075,
2510402,Q2009341,301388,3393658,,21091,
2510501,Q1816157,301463,3393532,,21113,
2510600,Q2008376,301370,3393422,,21130,
2510659,Q2103106,301371,6320373,,19720,
2510709,Q2104849,301393,6320374,,21156,
2510808,Q1966384,301459,3392887,,21172,
2510907,Q2081885,301354,6319164,,21199,
2511004,Q2342000,301394,6324255,,21210,
2511103,Q2009239,301257,3392544,,21237,
2511202,Q2009248,301396,6320377|3392478,,21253,
2511301,Q2009920,301347,6324304|3392225,,21270,
2511400,Q2008685,301296,6320378|3392145,,21296,
2511509,Q731296,301416,6320379,,21318,
2511608,Q2067408,301457,6320380,,21334,
2511707,Q2011307,301349,6320381,,21350,
2511806,Q1870026,301443,6320382|3391895,,21377,
2511905,Q2008741,301426,3391889|6320383,,21393,
2512002,Q1816070,301325,3391762|6319059,,21415,
2512036,Q734849,301287,3391710,,19640,
2512077,Q1829476,301407,6317998,,19526,
2512101,Q2078751,301438,3391571|6319060,,21431,
2512200,Q2329634,301315,6324225,,21458,
2512309,Q2095104,301441,6320386|3391172,,21474,
2512408,Q2011046,301280,3391130|6320387,,21490,
2512507,Q782948,301436,6320388,,21512,
2512606,Q2077775,301334,6320389,,21539,
2512705,Q289067,301377,3390674|6320390,,21555,
2512721,Q2064424,301360,6320391,,19747,
2512747,Q2329696,301374,6320392,,19208,
2512754,Q2008384,301368,3390542,,19127,
2512762,Q969630,301319,6320394,,19003,
2512788,Q2009287,301356,3390473,,19828,
2512804,Q1897689,301329,3390420|6320396,,21571,
2512903,Q2085541,301288,6319061,,21598,
2513000,Q2065031,301263,3389933|6320397,,21610,
2513109,Q2009391,301258,3389873,,21636,
2513158,Q2102814,301281,6320399,,20001,
2513208,Q2329762,301444,6320400,,21652,
2513307,Q2329779,301309,3389615|6320401,,21679,
2513356,Q649347,301322,3389608|6320402,,19569,
2513406,Q2329720,301284,6320403|3389560,,21695,
2513505,Q2010753,301318,3389389,,21717,
2513604,Q2009875,301335,3389379,,21733,
2513653,Q2098422,301378,6320406,,19666,
2513703,Q1937304,301397,6319062,,21750,
2513802,Q680275,301268,6320407,,21776,
2513851,Q2078761,301414,6320408,,19267,
2513901,Q767395,301317,6320409,,21792,
2513927,Q2009398,301417,6320410,,19402,
2513943,Q377255,301269,6318410,,19224,
2513968,Q224967,301304,6320412|3388893,,19429,
2513984,Q375711,301270,3388812|6324226,,19860,
2514008,Q2008734,301452,3388622,,21814,
2514107,Q2009071,301363,3388613,,21830,
2514206,Q2009321,301419,3388455,,21857,
2514305,Q2010404,301369,3388444,,21873,
2514404,Q2010579,301381,3388446,,21890,
2514453,Q2009265,301446,6318523,,19046,
2514503,Q2010773,301277,3388442,,21911,
2514552,Q1808707,301437,6318496,,19445,
2514602,Q936607,301283,3388439,,21938,
2514651,Q644127,301422,6318499,,19542,
2514701,Q2008367,301286,3388429,,21954,
2514800,Q2008760,301324,3388425,,21970,
2514909,Q1999321,301379,6320424,,21997,
2515005,Q2008694,301362,3388272,,22012,
2515104,Q2009298,301345,3408102,,22039,
2515203,Q2008699,301303,3388106,,22055,
2515302,Q2008707,301300,6320428,,22071,
2515401,Q2008358,301386,3387914,,22098,
2515500,Q2009097,301384,6320430|3387879,,22110,
2515609,Q1962737,301274,3387860,,22136,
2515708,Q2010952,301293,3387818|6320432,,22152,
2515807,Q1979460,301402,6320433|3387793,,22179,
2515906,Q2064614,301320,6320434,,22195,
2515930,Q1973538,301448,6324245,,19186,
2515971,Q2078739,301385,6320435,,19020,
2516003,Q2010744,301373,6320436,,22217,
2516102,Q2066120,301467,3387258|6324256,,22233,
2516151,Q2010762,301301,3387210,,19283,
2516201,Q2011653,301410,6319064,,22250,
2516300,Q2008324,301264,3387130|6320438,,22276,
2516409,Q1816133,301310,6320439|3386961,,22292,
2516508,Q2329707,301408,6320440,,22314,
2516607,Q2099625,301479,6320441,,22330,
2516706,Q1004229,301423,6320442|3386533,,22357,
2516755,Q1875004,301466,6320443,,19682,
2516805,Q2097715,301449,6319065,,22373,
2516904,Q2010393,301477,6320444|3385850,,22390,
2517001,Q1815057,301458,3385789,,22411,
2517100,Q2065255,301383,6320446|3385483,,22438,
2517209,Q2009892,301439,6318894,,19887,
2517407,Q1808686,301312,3384890,,19348,
2600054,Q536569,303627,3408404|6320448,,26310,
2600104,Q1761348,303749,3408274|6320449,,23019,
2600203,Q2065815,303647,3408270|6320450,,23035,
2600302,Q1787629,303594,3408251|6320451,,23051,
2600401,Q1804038,303730,3408175|6320452,,23078,
2600500,Q2013722,303601,6320453|3408166,,23094,
2600609,Q938278,303674,3408089|6320454,,23116,
2600708,Q2010570,303655,3407938|6320455,,23132,
2600807,Q1844246,303680,6320456|3407871,,23159,
2600906,Q1839783,2696547,3407758|6320457,,23175,
2601003,Q1987808,303616,3407623,,23191,
2601052,Q2010873,303613,6324246,,23205,
2601102,Q626344,303714,3407243,,23213,
2601201,Q637902,303736,3407216,,23230,
2601300,Q1811106,303652,6318980,,23256,
2601409,Q2102404,303632,3406160|6320461,,23272,
2601508,Q746519,303741,3405853,,23299,
2601607,Q1811159,303631,6320463|3405852,,23310,
2601706,Q949079,303599,6320464|3405812,,23337,
2601805,Q2065057,303717,3405753,,23353,
2601904,Q2011830,303649,3405738|6320466,,23370,
2602001,Q524487,303737,6320467,,23396,
2602100,Q568749,303648,3405380|6320468,,23418,
2602209,Q2097751,303757,6320469|3405339,,23434,
2602308,Q2341964,303640,3405172|6320470,,23450,
2602407,Q2065806,303615,6320471|3404938,,23477,
2602506,Q682185,303686,6320472,,23493,
2602605,Q1807223,303617,3404862|6320473,,23515,
2602704,Q2101554,303685,7932509,,23531,
2602803,Q1809636,303604,3404766|6320475,,23558,
2602902,Q1637538,303752,6316674,,23574,
2603009,Q2010855,303608,3404513|6320477,,23590,
2603108,Q2099535,303754,3404355|6320478,,23612,
2603207,Q1008259,303719,3404231,,23639,
2603306,Q2088907,303738,6320480,,23655,
2603405,Q2010836,303589,6320481|3403793,,23671,
2603454,Q1761143,303695,3403741,,26298,
2603504,Q1811052,303644,6320483|3403685,,23698,
2603603,Q1814461,303663,3403516,,23710,
2603702,Q2064820,303676,3403360|6320485,,23736,
2603801,Q2064882,303706,3403082|6320486,,23752,
2603900,Q2064956,303734,6320487|3402849,,23779,
2603926,Q682035,303584,3402814,,23167,
2604007,Q1993877,303593,6320489|3402721,,23795,
2604106,Q622830,303670,6320490,,23817,
2604155,Q923741,303701,3402598,,23221,
2604205,Q2011032,303607,6320492|3402528,,23833,
2604304,Q716874,303724,3402320|6324257,,23850,
2604403,Q1811142,303746,3402278,,23876,
2604502,Q2010970,303662,6320494|3402271,,23892,
2604601,Q507095,303668,3401830|6320495,,23914,
2604700,Q776802,303759,6319068,,23930,
2604809,Q2064746,303739,3401606|6320496,,23957,
2604908,Q2089188,303636,6320497|3401404,,23973,
2605004,Q1916653,303641,6320498|3401340,,23990,
2605103,Q2013538,303703,6320499,,24015,
2605152,Q1811064,303744,6317039,,23140,
2605202,Q2102479,303590,3400804|6320501,,24031,
2605301,Q2064727,303710,3400541|6320502,,24058,
2605400,Q1869240,303605,6320503,,24074,
2605459,Q175057,303650,3399637,,30015,
2605509,Q2078233,303720,3399625|6324305,,24090,
2605608,Q2105990,303681,6324227|3399539,,24112,
2605707,Q2464842,303704,3399518|6320504,,24139,
2605806,Q2011848,303721,3399307,,24155,
2605905,Q2064836,303713,6320506|3399132,,24171,
2606002,Q771575,303628,3399058,,24198,
2606101,Q1804101,303732,6320508,,24210,
2606200,Q1767210,303726,6320509|3398904,,24236,
2606309,Q2102421,303639,3398708,,24252,
2606408,Q535373,303597,6320511|3398691,,24279,
2606507,Q2011836,303731,3398419,,24295,
2606606,Q1804109,303618,3398401|6320513,,24317,
2606705,Q1849689,303747,3398399,,24333,
2606804,Q1787619,303682,3398352,,24350,
2606903,Q2010845,303693,3398335,,24376,
2607000,Q2309727,303579,3398264|6320517,,24392,
2607109,Q2010935,303753,3398207,,24414,
2607208,Q1796462,303577,6320519|3398115,,24430,
2607307,Q743369,303675,3398105,,24457,
2607406,Q1804119,303619,6320521,,24473,
2607505,Q2011784,303756,3397983|6320522,,24490,
2607604,Q587114,303716,3397963,,24511,
2607653,Q2433604,303576,3386889|6324266,,25976,
2607703,Q2010880,303660,3397931,,24538,
2607752,Q1804093,303677,6320525|3397904,,26336,
2607802,Q2010908,303661,6320526|3397886,,24554,
2607901,Q271393,303709,6317344|6320527,,24570,
2607950,Q2011203,303653,6320528,,23302,
2608008,Q2064753,303758,3397546,,24597,
2608057,Q2472554,303664,3392243|6320530,,23264,
2608107,Q786899,303625,3397319|6320531,,24619,
2608206,Q1401082,303586,3397262|6320532,,24635,
2608255,Q1852062,303673,3397115,,23124,
2608305,Q2013547,303651,3397055|6320534,,24651,
2608404,Q2104639,303690,6320535,,24678,
2608453,Q2010890,303692,3396786,,23027,
2608503,Q1887813,303696,3396769|6320537,,24694,
2608602,Q2013643,303743,3396740,,24716,
2608701,Q2013715,303751,3396716,,24732,
2608750,Q2103088,303646,3396675|6320540,,23183,
2608800,Q2078213,303606,3396496|6320541,,24759,
2608909,Q2064902,303588,6320542,,24775,
2609006,Q2077831,303659,6320543,,24791,
2609105,Q2064965,303687,3395966,,24813,
2609154,Q1895257,303740,6320545,,23248,
2609204,Q2011013,303580,6320546|3395456,,24830,
2609303,Q2011780,303658,3394792,,24856,
2609402,Q2012258,303700,3394453,,24872,
2609501,Q1811182,303587,3393972|6320549,,24899,
2609600,Q28301,2185940,3393536,,24910,
2609709,Q2013693,303689,6320551|3393470,,24937,
2609808,Q2010863,303598,6320552,,24953,
2609907,Q2064430,303733,3393452|6320553,,24970,
2610004,Q547095,303691,3393264|6320554,,24996,
2610103,Q2011342,303725,3393231,,25011,
2610202,Q2013681,303620,6320556|3393190,,25038,
2610301,Q2011819,303711,3393047,,25054,
2610400,Q2101450,303575,3392997|6320558,,25070,
2610509,Q2011285,303581,6320559|3392916,,25097,
2610608,Q674432,303614,3392829,,25119,
2610707,Q949833,303755,3392740,,25135,
2610806,Q2013605,303602,6320561|3392657,,25151,
2610905,Q1008230,303656,3392251|6320562,,25178,
2611002,Q2106455,303638,6320563,,25194,
2611101,Q842143,303629,3392242,,25216,
2611200,Q1809609,303596,6320565,,25232,
2611309,Q2309699,303715,6320566,,25259,
2611408,Q2099821,303748,6320567,,25275,
2611507,Q2011039,303624,3390965|6320568,,25291,
2611533,Q2034566,303630,6320569,,23000,
2611606,Q48344,303585,3390760,,25313,
2611705,Q1964406,303683,6320571|3390490,,25330,
2611804,Q2088935,2709594,6320572,,25356,
2611903,Q2011054,303621,3390295,,25372,
2612000,Q257236,303612,3389966,,25399,
2612109,Q2278378,303611,6320575,,25410,
2612208,Q2102772,303600,3389860|6320576,,25437,
2612307,Q2065190,303622,3389815,,25453,
2612406,Q1991944,303645,3389721,,25470,
2612455,Q2430789,303718,6318223|6320579,,23108,
2612471,Q2010927,303582,3389655,,23043,
2612505,Q2082237,303669,3389652|6320581,,25496,
2612554,Q2088926,303707,3394156|6320582,,23329,
2612604,Q2010898,303698,6320583|3389462,,25518,
2612703,Q2013573,303705,6318281,,25534,
2612802,Q2456298,303723,6320585|6318315,,25550,
2612901,Q2010993,303708,6318383,,25577,
2613008,Q2078660,303697,3388955,,25593,
2613107,Q777635,303635,3388925,,25615,
2613206,Q2355766,303745,6324229,,25631,
2613305,Q2013565,303712,6320588|3388567,,25658,
2613404,Q573729,303735,6320589|3388456,,25674,
2613503,Q2011317,303666,6320590|3388440,,25690,
2613602,Q1911145,303688,3388435|6320591,,25712,
2613701,Q1796467,303591,3388376,,25739,
2613800,Q2097693,303742,3388059|6320593,,25755,
2613909,Q2000133,303592,6320594|3387786,,25771,
2614006,Q2013706,303633,3387727,,25798,
2614105,Q2011023,303583,3387663|6320595,,25810,
2614204,Q929655,303578,6320596|3387604,,25836,
2614303,Q2011296,303729,6317642,,25852,
2614402,Q2064859,303672,6320598,,25879,
2614501,Q2064701,303642,3387115|6320599,,25895,
2614600,Q2078322,303610,3387082|6320600,,25917,
2614709,Q2013728,303643,3386971,,25933,
2614808,Q2011003,303609,3386966,,25950,
2614857,Q2011531,303657,6320603,,23280,
2615003,Q2011859,303623,6320604|3386622,,25992,
2615102,Q2064935,303595,3386492,,26018,
2615201,Q2604168,303694,3386480|6320606,,26034,
2615300,Q929867,303728,3386391,,26050,
2615409,Q2013594,303727,3386264|6320607,,26077,
2615508,Q1870479,303603,3386200,,26093,
2615607,Q2355756,303722,3386042|6320609,,26115,
2615706,Q679786,303665,3386024|6320610,,26131,
2615805,Q1804078,303671,6320611|3385920,,26158,
2615904,Q2077835,303637,3385918,,26174,
2616001,Q1804048,303667,3385230,,26190,
2616100,Q2013582,303679,3385209,,26212,
2616183,Q2013655,303654,6318884,,23086,
2616209,Q2065306,303634,6320616,,26239,
2616308,Q2010783,303750,6320617|3385118,,26255,
2616407,Q985685,303684,3384987,,26271,
2616506,Q1111243,303699,3384930,,23060,
2700102,Q1808899,303820,3408207,,27014,
2700201,Q2028005,303866,3407692,,27030,
2700300,Q626175,303810,3407326,,27057,
2700409,Q928274,303816,3406996,,27073,
2700508,Q1795908,303799,3406333,,27090,
2700607,Q2027348,303796,6320621|3406330,,27111,
2700706,Q2028288,303819,3405992,,27138,
2700805,Q2028301,303824,3405857|6320622,,27154,
2700904,Q1795566,303786,3405808|6324272,,27170,
2701001,Q1772672,303834,3405457,,27197,
2701100,Q2021035,303828,3404972,,27219,
2701209,Q1808791,303853,3404257|6324306,,27235,
2701308,Q2019063,303859,3403943|6320625,,27251,
2701357,Q2028637,303849,6320626,,27081,
2701407,Q2028275,303808,6320627|3403611,,27278,
2701506,Q1814259,303836,6324307|6316738,,27294,
2701605,Q1796020,303847,3403428|6319071,,27316,
2701704,Q1955261,303837,6320628,,27332,
2701803,Q1808880,303856,3402739,,27359,
2701902,Q2021044,303795,3402211,,27375,
2702009,Q1816142,303843,6320631,,27391,
2702108,Q1795581,303813,6320632,,27413,
2702207,Q1816094,303829,3401751,,27430,
2702306,Q1796426,303844,6319163|3465329,,27456,
2702355,Q1795950,303846,3401552,,28894,
2702405,Q1808849,303835,3401109|3401108,,27472,
2702504,Q988800,303831,3400989|6320634,,27499,
2702553,Q1795573,303765,6317102,,27049,
2702603,Q520936,303821,3399684,,27510,
2702702,Q649495,303864,3463446,,27537,
2702801,Q1816177,303807,6320636,,27553,
2702900,Q768122,303797,3397337|6324310,,27570,
2703007,Q2021130,303845,6320637|3398412,,27596,
2703106,Q1808097,303775,3398355,,27618,
2703205,Q594183,303769,3461483,,27634,
2703304,Q2021140,303854,3398192|6320638,,27650,
2703403,Q1816248,303780,3397761,,27677,
2703502,Q1808734,303801,3397706,,27693,
2703601,Q1808087,303798,6320640,,27715,
2703700,Q1815918,303773,3397601,,27731,
2703759,Q1808524,303863,6319205,,27065,
2703809,Q2027123,303783,6320642,,27758,
2703908,Q2020978,303774,3397068|6320643,,27774,
2704005,Q1808328,303852,3397062,,27790,
2704104,Q1795976,303789,3396877|6320644,,27812,
2704203,Q961349,303767,3396269,,27839,
2704302,Q168888,303815,3395981,,27855,
2704401,Q1808271,303794,3395880|3395879,,27871,
2704500,Q971736,303809,3395458|6320646,,27898,
2704609,Q1814508,303790,3395426|6320647,,27910,
2704708,Q985275,303857,6320648|3395395,,27936,
2704807,Q2021217,303825,3395336|6324311,,27952,
2704906,Q2028214,303778,6320649,,27979,
2705002,Q2027641,303827,3395161,,27995,
2705101,Q2013614,303860,3395077|6320650,,28010,
2705200,Q2028160,303804,3394908|6320651,,28037,
2705309,Q767029,303832,3394841|6320652,,28053,
2705408,Q2013634,303766,3394544,,28070,
2705507,Q1795628,303817,6320654,,28096,
2705606,Q1816167,303793,6320655,,28118,
2705705,Q1815966,303785,3393599,,28134,
2705804,Q1808294,303851,6324269,,28150,
2705903,Q1795548,303771,3455956,,28177,
2706000,Q950712,303777,6320657,,28193,
2706109,Q2355814,303833,6320658,,28215,
2706208,Q511396,303823,3393286|6320659,,28231,
2706307,Q948268,303782,3393241,,28258,
2706406,Q2027100,303802,3393171,,28274,
2706422,Q1795935,303848,3393011,,27022,
2706448,Q1795979,303811,3393004,,27006,
2706505,Q1772652,303842,3392914,,28290,
2706604,Q1800877,303800,3392732,,28312,
2706703,Q1772658,303814,3454224,,28339,
2706802,Q1772595,303812,3454005|6320664,,28355,
2706901,Q2013557,303806,3392126|6320665,,28371,
2707008,Q1800867,303791,3392084,,28398,
2707107,Q1998967,303865,3391957|3391965,,28410,
2707206,Q1795960,303770,6324312|3391686,,28436,
2707305,Q1772636,303858,3391397|6320667,,28452,
2707404,Q1796131,303792,3391385,,28479,
2707503,Q22036573,303803,3452671|3452670,,28495,
2707602,Q1772591,303784,3391090|6320669,,28517,
2707701,Q530211,303855,3390288|6320670,,28533,
2707800,Q2015625,303772,3390177,,28550,
2707909,Q1816274,303862,3389535,,28576,
2708006,Q2021116,303861,3389383|3389384,,28592,
2708105,Q1808118,303826,3389382|6320673,,28614,
2708204,Q22035039,303768,3449334|3449339,,28630,
2708303,Q1808170,303838,3388454|6324197,,28657,
2708402,Q1808190,303805,3388447|6324313,,28673,
2708501,Q1808105,303779,6320674|3388341,,28690,
2708600,Q1816037,303788,3388269|6324161,,28711,
2708709,Q740975,303830,3388267,,28738,
2708808,Q2014339,303867,6319072,,28754,
2708907,Q1795925,303787,6320676|3387987,,28770,
2708956,Q1795898,303776,6324314,,28916,
2709004,Q1772722,303822,6320677,,28797,
2709103,Q22061199,303818,3386628|6320678,,28819,
2709152,Q1795888,303850,6318763,,28932,
2709202,Q1772703,303839,3386197,,28835,
2709301,Q22063263,303840,3385742|6320680,,28851,
2709400,Q22063262,303841,6320681|3385109,,28878,
2800100,Q1802043,303917,3472307,,31011,
2800209,Q2013098,303893,3471899,,31038,
2800308,Q170578,303928,6320682,,31054,
2800407,Q1802037,303939,3471699|6320683,,31070,
2800506,Q949854,303915,6320684|3471609,,31097,
2800605,Q1784872,303886,3470674|6320685,,31119,
2800670,Q746187,303897,3468823|6320686,,31151,
2800704,Q1802013,303906,6320687|3468941,,31135,
2801009,Q1801972,303873,3467779|3467780,,31194,
2801108,Q1801984,303875,3467499,,31216,
2801207,Q1807399,303895,6319169|3403344,,31232,
2801306,Q726730,303931,6320688|3467319,,31259,
2801405,Q2013076,303887,3466940,,31275,
2801504,Q1801997,303901,3466898,,31291,
2801603,Q2013083,303913,3466499,,31313,
2801702,Q1802492,303926,3465154|6320690,,31330,
2801900,Q656402,303942,3465015,,31372,
2802007,Q1802021,303937,6320691|3464699,,31399,
2802106,Q1005942,303898,6320692,,31410,
2802205,Q2078439,303891,6317130|6324315,,31437,
2802304,Q588822,303909,3462943,,31453,
2802403,Q2013193,303905,3399051|3462581,,31496,
2802502,Q1802002,303903,6317193,,31470,
2802601,Q647366,303911,6324316,,31518,
2802700,Q1801964,303874,3461423|6320694,,31534,
2802809,Q2013163,3721829,3461289|6320695,,31550,
2802908,Q1784050,303888,3460974|6320696,,31577,
2803005,Q1802007,303914,3460970,,31593,
2803104,Q1929327,303921,3460961,,31615,
2803203,Q1807361,303882,3460665,,31631,
2803302,Q2013178,303871,6320698|3460136,,31658,
2803401,Q1112881,303869,3460127|6324317,,31674,
2803500,Q2288052,303894,3459337,,31690,
2803609,Q2014486,303944,6320699,,31712,
2803708,Q2013214,303902,3458255,,31739,
2803807,Q2078302,303924,3458102,,31755,
2803906,Q2013198,303932,3458093|6320701,,31771,
2804003,Q609459,303879,3457582|6320702,,31798,
2804102,Q1857645,303883,3456977|6320703,,31810,
2804201,Q22038204,303922,3456878|3456879,,31836,
2804300,Q2079696,303881,3456498,,31852,
2804409,Q2011928,303941,3393936,,31879,
2804458,Q2089228,303878,6317689,,31356,
2804508,Q22038535,303933,3456239|3456240,,31895,
2804607,Q22038537,303935,3456234|3456233,,31917,
2804706,Q2011901,303890,3456230|6320706,,31933,
2804805,Q1800687,303870,3456223,,31950,
2804904,Q2307488,303930,6324258,,31976,
2805000,Q2078330,303925,3454515,,31992,
2805109,Q2013116,303884,3454394,,32018,
2805208,Q2171696,303876,3453776,,32034,
2805307,Q1809608,303920,3453599,,32050,
2805406,Q430927,303918,3391608,,32077,
2805505,Q22036374,303934,3453298|3453300,,32093,
2805604,Q2014466,303889,3391393,,32115,
2805703,Q1807371,303943,3452231,,32131,
2805802,Q22034271,303938,3451475|3451476,,32158,
2805901,Q2347679,303872,6320710|3451410,,32174,
2806008,Q2079747,303927,3451304,,32190,
2806107,Q2013205,303892,3450874,,32212,
2806206,Q2013090,303908,6320712|3450710,,32239,
2806305,Q2089266,303900,6318269,,32255,
2806404,Q668375,303936,6318330,,31003,
2806503,Q2083175,303919,6320715|3449795,,32298,
2806602,Q371369,303907,3449710|6320716,,32310,
2806701,Q839003,303896,3449310,,32336,
2806800,Q1999718,303912,6324319|3449298,,32352,
2806909,Q2331416,303877,6324371,,32379,
2807006,Q2089289,303923,6318553,,32395,
2807105,Q1848973,303885,3447561,,32417,
2807204,Q1975957,303916,3447533|6320718,,32433,
2807303,Q22063215,303904,6318758|6320719,,32450,
2807402,Q22033542,303899,3446399|3446400,,32476,
2807501,Q22033560,303880,3446362|3446363,,32492,
2807600,Q22063214,303910,3445818|6320720,,32514,
2900108,Q1645077,362174,6320721,,33014,
2900207,Q1647789,362190,6320722,,33030,
2900306,Q1761962,362207,3473218|6320723,,33057,
2900355,Q1762152,362946,3473140,,33065,
2900405,Q1762459,362256,3472998|6320725,,33073,
2900504,Q1793641,362289,6320726,,33090,
2900603,Q560381,362313,3472804,,33111,
2900702,Q22050101,362337,3472764,,33138,
2900801,Q22063205,362361,6320728|3472728,,33154,
2900900,Q1762121,362393,3472555,,33170,
2901007,Q1648060,362437,3472370|6320730,,33197,
2901106,Q654725,362468,6316383,,33219,
2901155,Q1762100,362503,6320732|3472344,,30716,
2901205,Q1772546,362512,3472298|6320733,,33235,
2901304,Q490022,362173,3472271,,33251,
2901353,Q1796352,362217,3472263,,33260,
2901403,Q1762342,362264,3472208,,33278,
2901502,Q1761950,362287,6320737|3472174,,33294,
2901601,Q22063195,362239,3472086|6320738,,33316,
2901700,Q1772510,362346,6316399,,33332,
2901809,Q1772563,362299,6316400,,33359,
2901908,Q1762391,362394,3471917,,33375,
2901957,Q1772630,362353,6320742,,33405,
2902005,Q1762365,362498,6320743,,33391,
2902054,Q1762140,362487,3471867,,33383,
2902104,Q22063188,362543,6320745,,33413,
2902203,Q1762004,362533,3471826,,33430,
2902252,Q1648079,362189,3471711,,30732,
2902302,Q1762335,362231,3471701,,33456,
2902401,Q513600,362183,6316462,,33472,
2902500,Q1761984,362332,6316476,,33499,
2902609,Q1762467,362244,3471094|6320750,,33510,
2902658,Q1761992,362257,6316496,,33529,
2902708,Q2013948,362370,3470821|6320752,,33537,
2902807,Q1795377,362527,3470744|6320753,,33553,
2902906,Q1761997,362515,3470747,,33570,
2903003,Q1761974,362484,3470697,,33596,
2903102,Q1761936,362491,3470678,,33618,
2903201,Q1384520,362843,3470579,,33634,
2903235,Q2028167,362322,6320756,,30759,
2903276,Q1808142,362338,3470390,,30775,
2903300,Q1761886,362300,3470386,,33650,
2903409,Q816112,362255,3470137,,33677,
2903508,Q642874,362453,3470131,,33693,
2903607,Q865464,362448,3469983,,33715,
2903706,Q1772514,362382,3469895,,33731,
2903805,Q770067,362538,6316589,,33758,
2903904,Q891727,362475,3469437,,33774,
2903953,Q1762021,362259,3469434,,33782,
2904001,Q1795278,362290,3469310,,33790,
2904050,Q1808128,362312,6320765,,33804,
2904100,Q1772521,362344,6320766|3469190,,33812,
2904209,Q1762094,362156,3469131,,33839,
2904308,Q1800651,362142,3468945,,33855,
2904407,Q1761968,362205,6316652,,33871,
2904506,Q1762399,362220,3468897,,33898,
2904605,Q1808298,362504,3468893|6320770,,33910,
2904704,Q1761955,362518,3468858|6320771,,33936,
2904753,Q1795342,363253,3468734,,30791,
2904803,Q1648887,362550,3468689,,33952,
2904852,Q980565,362387,3468669,,33960,
2904902,Q985576,362439,3468535,,33979,
2905008,Q1795313,362446,6320776,,33995,
2905107,Q1946795,362291,3468336|6320777,,34010,
2905156,Q1762013,362277,6316695,,34029,
2905206,Q1795371,362335,6320779,,34037,
2905305,Q1808307,362315,3468314|6320780,,34053,
2905404,Q960632,362165,3468195,,34070,
2905503,Q283971,362155,6320782,,34096,
2905602,Q1772542,362222,3468038,,34118,
2905701,Q1136204,362505,3468031,,34134,
2905800,Q1795776,362551,6320785|3468025,,34150,
2905909,Q1798839,362517,6316733,,34177,
2906006,Q1808046,362442,3467760|6320787,,34193,
2906105,Q1806851,362451,6320788|6316759,,34215,
2906204,Q674476,362314,3467604|6320789,,34231,
2906303,Q1772515,362333,3467577,,34258,
2906402,Q1795769,362247,3467565,,34274,
2906501,Q1762379,362285,3467555|3467552,,34290,
2906600,Q1798833,362262,3467546,,34312,
2906709,Q597716,362234,6316765,,34339,
2906808,Q508999,362149,3467450,,34355,
2906824,Q653656,362521,6320795,,30856,
2906857,Q961459,362545,3467313,,30813,
2906873,Q1795362,362474,6320797|3467272,,30830,
2906899,Q1800637,362492,6320798,,34363,
2906907,Q985956,362354,3466980|6320799,,34371,
2907004,Q1761958,362371,3466973,,34398,
2907103,Q985608,362392,3466950|6320801,,34410,
2907202,Q1795593,362343,6316821|6320802,,34436,
2907301,Q1764155,362306,6320803,,34452,
2907400,Q747832,362305,6316832,,34479,
2907509,Q1762371,362273,6320805|3466641,,34495,
2907558,Q1795587,362248,3466615,,34509,
2907608,Q2021433,362218,6320807,,34517,
2907707,Q1796395,362860,3402163,,34533,
2907806,Q1761858,362139,3466171|6320808,,34550,
2907905,Q1762353,362542,3466134|6320809,,34576,
2908002,Q264690,362553,6320810|3466041,,34592,
2908101,Q2028150,363198,3465982|6320811,,34614,
2908200,Q1762474,362458,3465767|6320812,,34630,
2908309,Q1772585,362467,3465752|6320813,,34657,
2908408,Q1772525,362440,3465748|6320814,,34673,
2908507,Q988781,362390,6320815|3465758,,34690,
2908606,Q1003399,362372,3465713|6320816,,34711,
2908705,Q596466,363064,3465703,,34738,
2908804,Q1796433,362457,3465604,,34754,
2908903,Q1762086,362463,3465541|6320819,,34770,
2909000,Q1800634,362438,3458052|6320820,,34797,
2909109,Q1645061,362471,3465516,,34819,
2909208,Q1772667,362554,6316924,,34835,
2909307,Q1061205,362929,3465373|6320823,,34851,
2909406,Q1761906,362317,3465294,,34878,
