#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:740:2:101,101,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:101,Brownsweg,SR0101,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:102,102,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:102,Centrum,SR0102,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:103,103,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:103,Klaaskreek,SR0103,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:104,104,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:104,Kwakoegron,SR0104,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:105,105,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:105,Marechallkreek,SR0105,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:106,106,1603:45:16:740:0,1603:45:16:740:1:1,1603:45:16:740:2:106,Sarakreek,SR0106,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:201,201,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:201,Alkmaar,SR0201,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:202,202,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:202,Bakkie,SR0202,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:203,203,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:203,Margaretha,SR0203,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:204,204,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:204,Meerzorg,SR0204,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:205,205,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:205,Nieuw Amsterdam,SR0205,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:206,206,1603:45:16:740:0,1603:45:16:740:1:2,1603:45:16:740:2:206,Tamanredjo,SR0206,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:301,301,1603:45:16:740:0,1603:45:16:740:1:3,1603:45:16:740:2:301,Johanna Maria,SR0301,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:302,302,1603:45:16:740:0,1603:45:16:740:1:3,1603:45:16:740:2:302,Totness,SR0302,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:303,303,1603:45:16:740:0,1603:45:16:740:1:3,1603:45:16:740:2:303,Welgelegen,SR0303,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:401,401,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:401,Albina,SR0401,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:402,402,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:402,Galibi,SR0402,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:403,403,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:403,Moengo,SR0403,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:404,404,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:404,Moengo Tapu,SR0404,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:405,405,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:405,Patamacca,SR0405,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:406,406,1603:45:16:740:0,1603:45:16:740:1:4,1603:45:16:740:2:406,Wanhatti,SR0406,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:501,501,1603:45:16:740:0,1603:45:16:740:1:5,1603:45:16:740:2:501,Groot Henar,SR0501,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:502,502,1603:45:16:740:0,1603:45:16:740:1:5,1603:45:16:740:2:502,Nieuw Nickerie,SR0502,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:503,503,1603:45:16:740:0,1603:45:16:740:1:5,1603:45:16:740:2:503,Oostelijke Polders,SR0503,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:504,504,1603:45:16:740:0,1603:45:16:740:1:5,1603:45:16:740:2:504,Wageningen,SR0504,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:505,505,1603:45:16:740:0,1603:45:16:740:1:5,1603:45:16:740:2:505,Westelijke Polders,SR0505,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:601,601,1603:45:16:740:0,1603:45:16:740:1:6,1603:45:16:740:2:601,Bigi Poika,SR0601,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:602,602,1603:45:16:740:0,1603:45:16:740:1:6,1603:45:16:740:2:602,Carolina,SR0602,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:603,603,1603:45:16:740:0,1603:45:16:740:1:6,1603:45:16:740:2:603,Para Noord,SR0603,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:604,604,1603:45:16:740:0,1603:45:16:740:1:6,1603:45:16:740:2:604,Para Oost,SR0604,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:605,605,1603:45:16:740:0,1603:45:16:740:1:6,1603:45:16:740:2:605,Para Zuid,SR0605,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:701,701,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:701,Beekhuizen,SR0701,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:702,702,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:702,Blauwgrond,SR0702,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:703,703,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:703,Centrum,SR0703,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:704,704,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:704,Flora,SR0704,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:705,705,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:705,Latour,SR0705,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:706,706,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:706,Livorno,SR0706,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:707,707,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:707,Munder,SR0707,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:708,708,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:708,Pontbuiten,SR0708,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:709,709,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:709,Rainville,SR0709,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:710,710,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:710,Tammenga,SR0710,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:711,711,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:711,Weg Naar Zee,SR0711,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
