#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:12:2:1001,1001,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1001,Adrar,,DZ001001,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1002,1002,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1002,Akabili,,DZ001002,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1003,1003,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1003,Aougrout,,DZ001003,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1004,1004,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1004,Aoulef,,DZ001004,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1005,1005,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1005,Bordj Badji Mokhtar,,DZ001005,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1006,1006,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1006,Bouda,,DZ001006,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1007,1007,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1007,Deldoul,,DZ001007,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1008,1008,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1008,Fenoughil,,DZ001008,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1009,1009,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1009,Gharouine,,DZ001009,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1010,1010,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1010,Inzegmir,,DZ001010,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
