#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:454:3:10101,10101,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10101,TA Mwabulambya,MW10101,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10102,10102,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10102,TA Mwenemisuku,MW10102,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10103,10103,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10103,TA Mwenewenya,MW10103,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10104,10104,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10104,TA Nthalire,MW10104,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10105,10105,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10105,TA Kameme,MW10105,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10106,10106,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10106,Nyika National Park - Chitipa,MW10106,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10120,10120,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:101,1603:45:16:454:3:10120,Chitipa Boma,MW10120,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10201,10201,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:102,1603:45:16:454:3:10201,TA Kilupula,MW10201,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10202,10202,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:102,1603:45:16:454:3:10202,SC Mwakaboko,MW10202,,STA Mwakaboko,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
1603:45:16:454:3:10203,10203,1603:45:16:454:0,1603:45:16:454:1:1,1603:45:16:454:2:102,1603:45:16:454:3:10203,TA Kyungu,MW10203,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
