#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1613:3:1,1,P2082,ix_unm49,+v_unm49
1613:3:2,2,P2983,ix_undpcc,+v_undp_cc
1613:3:3,3,P3024,,
1613:3:4,4,,ix_unpcode,+v_pcode
1613:3:5,5,P1937,ix_unlocode,
1613:3:6,6,P498,ix_iso4217,+v_currency
1613:3:7,7,P297,ix_iso3166p1a2,+v_iso2
1613:3:8,8,P298,ix_iso3166p1a3,+v_iso3
1613:3:9,9,P299,ix_iso3166p1n,
1613:3:10,10,P882,ix_usfips,
1613:3:11,11,P901,,
1613:3:12,12,P1566,ix_geonameid,
1613:3:13,13,P218,ix_iso639p1a2,
1613:3:14,14,P219,ix_iso639p2a2,
1613:3:15,15,P220,ix_iso639p3a3,
1613:3:16,16,P1394,ix_glotolog,
1613:3:17,17,P506,ix_iso15924a4,
1613:3:18,18,P2620,ix_iso15924n,
1613:3:19,19,P305,ix_bcp47,
1613:3:20,20,P229,,+v_iata_airline
1613:3:21,21,P230,,+v_icao_airline
1613:3:22,22,P238,,+v_iata_airport
1613:3:23,23,P239,,+v_icao_airport
1613:3:24,24,P402,ix_osmrelid,
1613:3:50,50,P4179,,
1613:3:100,100,P734,,
1613:3:101,101,P735,,
1613:3:102,102,P4970,,
1613:3:103,103,P5056,,
1613:3:104,104,P5109,,
1613:3:105,105,P5110,,
1613:3:106,106,P5185,,
1613:3:107,107,P5186,,
1613:3:108,108,P5187,,+v_br_ibge
1613:3:109,109,P5191,,
1613:3:110,110,P5205,,
1613:3:111,111,P5206,,
1613:3:112,112,P5238,,
1613:3:113,113,P5280,,
1613:3:114,114,P5278,,
1613:3:115,115,P5560,,
1613:3:116,116,P5692,,
1613:3:117,117,P5713,,
1613:3:118,118,P5753,,
1613:3:119,119,P5920,,
1613:3:120,120,P5967,,
1613:3:121,121,P5972,,
1613:3:122,122,P5973,,
1613:3:123,123,P5974,,
1613:3:124,124,P5975,,
1613:3:125,125,P5976,,
1613:3:126,126,P6191,,
1613:3:127,127,P6254,,
1613:3:128,128,P6271,,
1613:3:129,129,P6427,,
1613:3:130,130,P6553,,
1613:3:131,131,P6593,,
1613:3:300,300,P2440,,
1613:3:301,301,P2441,,
1613:3:302,302,P2479,,
1613:3:303,303,P2572,,
1613:3:304,304,P2671,,
1613:3:305,305,P2859,,
1613:3:306,306,P3066,,
1613:3:307,307,P3893,,
1613:3:308,308,P3896,,
1613:3:309,309,P3931,,
1613:3:310,310,P4092,,
1613:3:311,311,P4213,,
1613:3:312,312,P3982,,
1613:3:313,313,P4240,,
1613:3:314,314,P4354,,
1613:3:315,315,P4390,,
1613:3:316,316,P4403,,
1613:3:317,317,P4428,,
1613:3:318,318,P4856,,
1613:3:319,319,P4876,,
1613:3:320,320,P4901,,
1613:3:321,321,P4934,,
1613:3:322,322,P4945,,
1613:3:323,323,P4969,,
1613:3:324,324,P4988,,
1613:3:325,325,P5001,,
1613:3:326,326,P5017,,
1613:3:327,327,P5059,,
1613:3:328,328,P5061,,
1613:3:329,329,P5131,,
1613:3:330,330,P5132,,
1613:3:331,331,P5137,,
1613:3:332,332,P5178,,
1613:3:333,333,P5194,,
1613:3:334,334,P5195,,
1613:3:335,335,P1585,,
1613:3:336,336,P5209,,
1613:3:337,337,P5248,,
1613:3:338,338,P5305,,
1613:3:339,339,P5522	,,
1613:3:340,340,P5805,,
1613:3:341,341,P5814,,
1613:3:342,342,P5825,,
1613:3:343,343,P5930,,
1613:3:344,344,P5949,,
1613:3:345,345,P6001,,
1613:3:346,346,P6099,,
1613:3:347,347,P6193,,
1613:3:348,348,P6216,,
1613:3:349,349,P6275,,
1613:3:350,350,P6333,,
1613:3:351,351,P6339,,
1613:3:352,352,P6343,,
1613:3:353,353,P6344,,
1613:3:354,354,P6375,,
1613:3:355,355,P6498,,
1613:3:356,356,P6499,,
1613:3:357,357,P6440,,
1613:3:358,358,P6500,,
1613:3:359,359,P6507,,
1613:3:360,360,P6531,,
1613:3:400,400,P4496,,
1613:3:401,401,P4511,,
1613:3:402,402,P4575,,
1613:3:403,403,P4602,,
1613:3:404,404,P4669,,
1613:3:405,405,P4743,,
1613:3:406,406,P4841,,
1613:3:407,407,P4844,,
1613:3:408,408,P4222,,
1613:3:409,409,P4231,,
1613:3:410,410,P6512,,
