#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:178:2:101,101,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:101,Boko-Songho,CG0101,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:102,102,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:102,Kingoue,CG0102,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:103,103,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:103,Loudima,CG0103,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:104,104,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:104,Mabombo,CG0104,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:105,105,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:105,Madingou,CG0105,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:106,106,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:106,Mfouati,CG0106,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:107,107,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:107,Mouyondzi,CG0107,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:108,108,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:108,Nkayi,CG0108,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:109,109,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:109,Tsiaki,CG0109,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:110,110,1603:45:16:178:0,1603:45:16:178:1:1,1603:45:16:178:2:110,Yamba,CG0110,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
