#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:178:2:101,101,Boko-Songho,CG0101,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:102,102,Kingoue,CG0102,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:103,103,Loudima,CG0103,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:104,104,Mabombo,CG0104,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:105,105,Madingou,CG0105,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:106,106,Mfouati,CG0106,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:107,107,Mouyondzi,CG0107,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:108,108,Nkayi,CG0108,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:109,109,Tsiaki,CG0109,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:110,110,Yamba,CG0110,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:201,201,Brazzaville,CG0201,,,,Brazzaville,CG02,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:301,301,Boundji,CG0301,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:302,302,Loukolela,CG0302,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:303,303,Makoua,CG0303,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:304,304,Mossaka,CG0304,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:305,305,Ngoko,CG0305,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:306,306,Ntokou,CG0306,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:307,307,Owando,CG0307,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:308,308,Oyo,CG0308,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:309,309,Tchikapika,CG0309,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:401,401,Etoumbi,CG0401,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:402,402,Ewo,CG0402,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:403,403,Kelle,CG0403,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:404,404,Mbama,CG0404,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:405,405,Mbomo,CG0405,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:406,406,Okoyo,CG0406,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:501,501,Hinda,CG0501,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:502,502,Kakameoka,CG0502,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:503,503,Madingo-Kayes,CG0503,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:504,504,Mvouti,CG0504,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:505,505,Nzambi,CG0505,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:506,506,Tchiamba-Nzassi,CG0506,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:601,601,Bambama,CG0601,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:602,602,Komono,CG0602,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:603,603,Mayeye,CG0603,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:604,604,Sibiti,CG0604,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:605,605,Zanaga,CG0605,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:701,701,Betou,CG0701,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:702,702,Bouanila,CG0702,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:703,703,Dongou,CG0703,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:704,704,Enyelle,CG0704,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:705,705,Epena,CG0705,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:706,706,Impfondo,CG0706,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:707,707,Liranga,CG0707,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:801,801,Banba,CG0801,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:802,802,Divenie,CG0802,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:803,803,Kibangou,CG0803,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:804,804,Kimongo,CG0804,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:805,805,Londela-Kayes,CG0805,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:806,806,Louvakou,CG0806,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:807,807,Makabana,CG0807,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:808,808,Mayoko,CG0808,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:809,809,Mbinda,CG0809,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:810,810,Moungoundou-Nord,CG0810,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:811,811,Moungoundou-Sud,CG0811,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:812,812,Moutamba,CG0812,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:813,813,Nyanga,CG0813,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:814,814,Yaya,CG0814,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:901,901,Abala,CG0901,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:902,902,Allembe,CG0902,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:903,903,Djambala,CG0903,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:904,904,Gamboma,CG0904,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:905,905,Lekana,CG0905,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:906,906,Makotimpoko,CG0906,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:907,907,Mbon,CG0907,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
