#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tha+is_thai,#adm2+name+alt2+i_tha+is_thai,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:764:2:3007,3007,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3007,Chok Chai,โชคชัย,TH3007,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3008,3008,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3008,Dan Khun Thot,ด่านขุนทด,TH3008,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3009,3009,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3009,Non Thai,โนนไทย,TH3009,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3010,3010,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3010,Non Sung,โนนสูง,TH3010,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3011,3011,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3011,Kham Sakaesaeng,ขามสะแกแสง,TH3011,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3012,3012,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3012,Bua Yai,บัวใหญ่,TH3012,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3013,3013,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3013,Prathai,ประทาย,TH3013,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3014,3014,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3014,Pak Thong Chai,ปักธงชัย,TH3014,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3015,3015,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3015,Phimai,พิมาย,TH3015,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3016,3016,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3016,Huai Thalaeng,ห้วยแถลง,TH3016,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3017,3017,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3017,Chum Phuang,ชุมพวง,TH3017,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3018,3018,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3018,Sung Noen,สูงเนิน,TH3018,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3019,3019,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3019,Kham Thale So,ขามทะเลสอ,TH3019,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3020,3020,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3020,Sikhio,สีคิ้ว,TH3020,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3021,3021,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3021,Pak Chong,ปากช่อง,TH3021,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3022,3022,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3022,Nong Bun Mak,หนองบุญมาก,TH3022,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3023,3023,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3023,Kaeng Sanam Nang,แก้งสนามนาง,TH3023,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3024,3024,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3024,Non Daeng,โนนแดง,TH3024,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3025,3025,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3025,Wang Nam Khiao,วังน้ำเขียว,TH3025,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3026,3026,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3026,Thepharak,เทพารักษ์,TH3026,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3027,3027,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3027,Mueang Yang,เมืองยาง,TH3027,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3028,3028,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3028,Phra Thong Kham,พระทองคำ,TH3028,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3029,3029,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3029,Lam Thamenchai,ลำทะเมนชัย,TH3029,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3030,3030,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3030,Bua Lai,บัวลาย,TH3030,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3031,3031,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3031,Sida,สีดา,TH3031,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3032,3032,1603:45:16:764:0,1603:45:16:764:1:30,1603:45:16:764:2:3032,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3032,,,,,,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3101,3101,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3101,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3102,3102,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3102,Khu Mueang,คูเมือง,TH3102,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3103,3103,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3103,Krasang,กระสัง,TH3103,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3104,3104,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3104,Nang Rong,นางรอง,TH3104,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3105,3105,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3105,Nong Ki,หนองกี่,TH3105,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3106,3106,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3106,Lahan Sai,ละหานทราย,TH3106,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3107,3107,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3107,Prakhon Chai,ประโคนชัย,TH3107,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3108,3108,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3108,Ban Kruat,บ้านกรวด,TH3108,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3109,3109,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3109,Phutthaisong,พุทไธสง,TH3109,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3110,3110,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3110,Lam Plai Mat,ลำปลายมาศ,TH3110,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3111,3111,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3111,Satuek,สตึก,TH3111,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3112,3112,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3112,Pakham,ปะคำ,TH3112,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3113,3113,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3113,Na Pho,นาโพธิ์,TH3113,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3114,3114,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3114,Nong Hong,หนองหงส์,TH3114,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3115,3115,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3115,Phlapphla Chai,พลับพลาชัย,TH3115,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3116,3116,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3116,Huai Rat,ห้วยราช,TH3116,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3117,3117,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3117,Non Suwan,โนนสุวรรณ,TH3117,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3118,3118,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3118,Chamni,ชำนิ,TH3118,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3119,3119,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3119,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3120,3120,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3120,Non Din Daeng,โนนดินแดง,TH3120,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3121,3121,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3121,Ban Dan,บ้านด่าน,TH3121,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3122,3122,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3122,Khaen Dong,แคนดง,TH3122,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3123,3123,1603:45:16:764:0,1603:45:16:764:1:31,1603:45:16:764:2:3123,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,,,,,,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3201,3201,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3201,Mueang Surin,เมืองสุรินทร์,TH3201,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3202,3202,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3202,Chumphon Buri,ชุมพลบุรี,TH3202,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3203,3203,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3203,Tha Tum,ท่าตูม,TH3203,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3204,3204,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3204,Chom Phra,จอมพระ,TH3204,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3205,3205,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3205,Prasat,ปราสาท,TH3205,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3206,3206,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3206,Kap Choeng,กาบเชิง,TH3206,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3207,3207,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3207,Rattanaburi,รัตนบุรี,TH3207,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3208,3208,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3208,Sanom,สนม,TH3208,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3209,3209,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3209,Sikhoraphum,ศีขรภูมิ,TH3209,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3210,3210,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3210,Sangkha,สังขะ,TH3210,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3211,3211,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3211,Lamduan,ลำดวน,TH3211,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3212,3212,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3212,Samrong Thap,สำโรงทาบ,TH3212,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3213,3213,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3213,Buachet,บัวเชด,TH3213,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3214,3214,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3214,Phanom Dong Rak,พนมดงรัก,TH3214,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3215,3215,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3215,Si Narong,ศรีณรงค์,TH3215,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3216,3216,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3216,Khwao Sin Rin,เขวาสินรินทร์,TH3216,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3217,3217,1603:45:16:764:0,1603:45:16:764:1:32,1603:45:16:764:2:3217,Non Narai,โนนนารายณ์,TH3217,,,,,,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3301,3301,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3301,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3302,3302,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3302,Yang Chum Noi,ยางชุมน้อย,TH3302,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3303,3303,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3303,Kanthararom,กันทรารมย์,TH3303,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3304,3304,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3304,Kantharalak,กันทรลักษ์,TH3304,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3305,3305,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3305,Khukhan,ขุขันธ์,TH3305,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3306,3306,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3306,Phrai Bueng,ไพรบึง,TH3306,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3307,3307,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3307,Prang Ku,ปรางค์กู่,TH3307,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3308,3308,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3308,Khun Han,ขุนหาญ,TH3308,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3309,3309,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3309,Rasi Salai,ราษีไศล,TH3309,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3310,3310,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3310,Uthumphon Phisai,อุทุมพรพิสัย,TH3310,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3311,3311,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3311,Bueng Bun,บึงบูรพ์,TH3311,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3312,3312,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3312,Huai Thap Than,ห้วยทับทัน,TH3312,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3313,3313,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3313,Non Khun,โนนคูณ,TH3313,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3314,3314,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3314,Si Rattana,ศรีรัตนะ,TH3314,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3315,3315,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3315,Nam Kliang,น้ำเกลี้ยง,TH3315,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3316,3316,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3316,Wang Hin,วังหิน,TH3316,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3317,3317,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3317,Phu Sing,ภูสิงห์,TH3317,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3318,3318,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3318,Mueang Chan,เมืองจันทร์,TH3318,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3319,3319,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3319,Benchalak,เบญจลักษ์,TH3319,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3320,3320,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3320,Phayu,พยุห์,TH3320,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3321,3321,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3321,Pho Si Suwan,โพธิ์ศรีสุวรรณ,TH3321,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3322,3322,1603:45:16:764:0,1603:45:16:764:1:33,1603:45:16:764:2:3322,Sila Lat,ศิลาลาด,TH3322,,,,,,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3401,3401,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3401,Mueang Ubon Ratchathani,เมืองอุบลราชธานี,TH3401,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3402,3402,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3402,Si Mueang Mai,ศรีเมืองใหม่,TH3402,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3403,3403,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3403,Khong Chiam,โขงเจียม,TH3403,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3404,3404,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3404,Khueang Nai,เขื่องใน,TH3404,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3405,3405,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3405,Khemarat,เขมราฐ,TH3405,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3407,3407,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3407,Det Udom,เดชอุดม,TH3407,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3408,3408,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3408,Na Chaluai,นาจะหลวย,TH3408,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3409,3409,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3409,Nam Yuen,น้ำยืน,TH3409,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3410,3410,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3410,Buntharik,บุณฑริก,TH3410,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3411,3411,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3411,Trakan Phuet Phon,ตระการพืชผล,TH3411,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:3412,3412,1603:45:16:764:0,1603:45:16:764:1:34,1603:45:16:764:2:3412,Kut Khaopun,กุดข้าวปุ้น,TH3412,,,,,,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
