#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tha+is_thai,#adm2+name+alt2+i_tha+is_thai,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:764:2:1022,1022,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1022,Phasi Charoen,ภาษีเจริญ,TH1022,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1023,1023,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1023,Nong Khaem,หนองแขม,TH1023,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1024,1024,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1024,Rat Burana,ราษฎร์บูรณะ,TH1024,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1025,1025,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1025,Bang Phlat,บางพลัด,TH1025,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1026,1026,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1026,Din Daeng,ดินแดง,TH1026,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1027,1027,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1027,Bueng Kum,บึงกุ่ม,TH1027,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1028,1028,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1028,Sathon,สาทร,TH1028,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1029,1029,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1029,Bang Sue,บางซื่อ,TH1029,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1030,1030,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1030,Chatuchak,จตุจักร,TH1030,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1031,1031,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1031,Bang Kho Laem,บางคอแหลม,TH1031,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1032,1032,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1032,Prawet,ประเวศ,TH1032,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1033,1033,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1033,Khlong Toei,คลองเตย,TH1033,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1034,1034,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1034,Suan Luang,สวนหลวง,TH1034,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1035,1035,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1035,Chom Thong,จอมทอง,TH1035,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1036,1036,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1036,Don Mueang,ดอนเมือง,TH1036,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1037,1037,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1037,Ratchathewi,ราชเทวี,TH1037,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1038,1038,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1038,Lat Phrao,ลาดพร้าว,TH1038,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1039,1039,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1039,Vadhana,วัฒนา,TH1039,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1040,1040,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1040,Bang Khae,บางแค,TH1040,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1041,1041,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1041,Lak Si,หลักสี่,TH1041,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1042,1042,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1042,Sai Mai,สายไหม,TH1042,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1043,1043,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1043,Khan Na Yao,คันนายาว,TH1043,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1044,1044,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1044,Saphan Sung,สะพานสูง,TH1044,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1045,1045,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1045,Wang Thonglang,วังทองหลาง,TH1045,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1046,1046,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1046,Khlong Sam Wa,คลองสามวา,TH1046,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1047,1047,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1047,Bang Na,บางนา,TH1047,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1048,1048,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1048,Thawi Watthana,ทวีวัฒนา,TH1048,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1049,1049,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1049,Thung Khru,ทุ่งครุ,TH1049,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1050,1050,1603:45:16:764:0,1603:45:16:764:1:10,1603:45:16:764:2:1050,Bang Bon,บางบอน,TH1050,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
