qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:320:1:1,1,1603:45:16:320:0,1603:45:16:320:1:1,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:2,2,1603:45:16:320:0,1603:45:16:320:1:2,El Progreso,GT02,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:3,3,1603:45:16:320:0,1603:45:16:320:1:3,Sacatepéquez,GT03,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:4,4,1603:45:16:320:0,1603:45:16:320:1:4,Chimaltenango,GT04,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:5,5,1603:45:16:320:0,1603:45:16:320:1:5,Escuintla,GT05,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:6,6,1603:45:16:320:0,1603:45:16:320:1:6,Santa Rosa,GT06,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:7,7,1603:45:16:320:0,1603:45:16:320:1:7,Sololá,GT07,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:8,8,1603:45:16:320:0,1603:45:16:320:1:8,Totonicapán,GT08,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:9,9,1603:45:16:320:0,1603:45:16:320:1:9,Quetzaltenango,GT09,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:10,10,1603:45:16:320:0,1603:45:16:320:1:10,Suchitepéquez,GT10,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:11,11,1603:45:16:320:0,1603:45:16:320:1:11,Retalhuleu,GT11,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:12,12,1603:45:16:320:0,1603:45:16:320:1:12,San Marcos,GT12,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:13,13,1603:45:16:320:0,1603:45:16:320:1:13,Huehuetenango,GT13,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:14,14,1603:45:16:320:0,1603:45:16:320:1:14,Quiché,GT14,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:15,15,1603:45:16:320:0,1603:45:16:320:1:15,Baja Verapaz,GT15,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:16,16,1603:45:16:320:0,1603:45:16:320:1:16,Alta Verapaz,GT16,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:17,17,1603:45:16:320:0,1603:45:16:320:1:17,Petén,GT17,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:18,18,1603:45:16:320:0,1603:45:16:320:1:18,Izabal,GT18,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:19,19,1603:45:16:320:0,1603:45:16:320:1:19,Zacapa,GT19,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:20,20,1603:45:16:320:0,1603:45:16:320:1:20,Chiquimula,GT20,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:21,21,1603:45:16:320:0,1603:45:16:320:1:21,Jalapa,GT21,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:22,22,1603:45:16:320:0,1603:45:16:320:1:22,Jutiapa,GT22,Guatemala,GT,2019-02-15,2019-11-10,
