#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:320:1:1,1,1603:45:16:320:0,1603:45:16:320:1:1,Guatemala,GT01,Guatemala,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:2,2,1603:45:16:320:0,1603:45:16:320:1:2,El Progreso,GT02,El Progreso,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:3,3,1603:45:16:320:0,1603:45:16:320:1:3,Sacatepéquez,GT03,Sacatepequez,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:4,4,1603:45:16:320:0,1603:45:16:320:1:4,Chimaltenango,GT04,Chimaltenango,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:5,5,1603:45:16:320:0,1603:45:16:320:1:5,Escuintla,GT05,Escuintla,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:6,6,1603:45:16:320:0,1603:45:16:320:1:6,Santa Rosa,GT06,Santa Rosa,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:7,7,1603:45:16:320:0,1603:45:16:320:1:7,Sololá,GT07,Solola,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:8,8,1603:45:16:320:0,1603:45:16:320:1:8,Totonicapán,GT08,Totonicapan,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:9,9,1603:45:16:320:0,1603:45:16:320:1:9,Quetzaltenango,GT09,Quetzaltenango,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:10,10,1603:45:16:320:0,1603:45:16:320:1:10,Suchitepéquez,GT10,Suchitepequez,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:11,11,1603:45:16:320:0,1603:45:16:320:1:11,Retalhuleu,GT11,Retalhuleu,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:12,12,1603:45:16:320:0,1603:45:16:320:1:12,San Marcos,GT12,San Marcos,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:13,13,1603:45:16:320:0,1603:45:16:320:1:13,Huehuetenango,GT13,Huehuetenango,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:14,14,1603:45:16:320:0,1603:45:16:320:1:14,Quiché,GT14,Quiche,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:15,15,1603:45:16:320:0,1603:45:16:320:1:15,Baja Verapaz,GT15,Baja Verapaz,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:16,16,1603:45:16:320:0,1603:45:16:320:1:16,Alta Verapaz,GT16,Alta Verapaz,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:17,17,1603:45:16:320:0,1603:45:16:320:1:17,Petén,GT17,Peten,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:18,18,1603:45:16:320:0,1603:45:16:320:1:18,Izabal,GT18,Izabal,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:19,19,1603:45:16:320:0,1603:45:16:320:1:19,Zacapa,GT19,Zacapa,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:20,20,1603:45:16:320:0,1603:45:16:320:1:20,Chiquimula,GT20,Chiquimula,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:21,21,1603:45:16:320:0,1603:45:16:320:1:21,Jalapa,GT21,Jalapa,,,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:1:22,22,1603:45:16:320:0,1603:45:16:320:1:22,Jutiapa,GT22,Jutiapa,,,Guatemala,GT,2019-02-15,2019-11-10,
