#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:2:1403,1403,1603:45:16:384:0,1603:45:16:384:1:14,1603:45:16:384:2:1403,Sandegue,CI1403,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1404,1404,1603:45:16:384:0,1603:45:16:384:1:14,1603:45:16:384:2:1404,Tanda,CI1404,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1405,1405,1603:45:16:384:0,1603:45:16:384:1:14,1603:45:16:384:2:1405,Transua,CI1405,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1501,1501,1603:45:16:384:0,1603:45:16:384:1:15,1603:45:16:384:2:1501,Dabou,CI1501,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1502,1502,1603:45:16:384:0,1603:45:16:384:1:15,1603:45:16:384:2:1502,Grand-Lahou,CI1502,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1503,1503,1603:45:16:384:0,1603:45:16:384:1:15,1603:45:16:384:2:1503,Jacqueville,CI1503,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1601,1601,1603:45:16:384:0,1603:45:16:384:1:16,1603:45:16:384:2:1601,Bangolo,CI1601,,,,Guemon,CI16,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1602,1602,1603:45:16:384:0,1603:45:16:384:1:16,1603:45:16:384:2:1602,Duékoué,CI1602,Duekoue,,,Guemon,CI16,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1603,1603,1603:45:16:384:0,1603:45:16:384:1:16,1603:45:16:384:2:1603,Facobly,CI1603,,,,Guemon,CI16,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1604,1604,1603:45:16:384:0,1603:45:16:384:1:16,1603:45:16:384:2:1604,Kouibly,CI1604,,,,Guemon,CI16,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1701,1701,1603:45:16:384:0,1603:45:16:384:1:17,1603:45:16:384:2:1701,Dabakala,CI1701,,,,Hambol,CI17,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1702,1702,1603:45:16:384:0,1603:45:16:384:1:17,1603:45:16:384:2:1702,Katiola,CI1702,,,,Hambol,CI17,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1703,1703,1603:45:16:384:0,1603:45:16:384:1:17,1603:45:16:384:2:1703,Niakaramandougou,CI1703,,,,Hambol,CI17,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1801,1801,1603:45:16:384:0,1603:45:16:384:1:18,1603:45:16:384:2:1801,Daloa,CI1801,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1802,1802,1603:45:16:384:0,1603:45:16:384:1:18,1603:45:16:384:2:1802,Issia,CI1802,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
