#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq
7650,Q2019296
7668,Q2068296
7676,Q369679
7684,Q1832376
7692,Q967552
7706,Q2068260
7714,Q1886395
7722,Q2012566
7730,Q1823871
7749,Q2103541
7757,Q646515
7765,Q781692
7773,Q2013171
7781,Q2068232
7790,Q2068880
7803,Q305180
7811,Q2034097
7820,Q2012976
7838,Q939995
7846,Q2012551
7854,Q14629944
7862,Q930035
7870,Q2012522
7889,Q2064676
7897,Q2068814
7900,Q743349
7919,Q2082297
7927,Q1846576
7935,Q2043418
7943,Q2013059
7951,Q2101408
7960,Q2013332
7978,Q1814500
7986,Q2066151
7994,Q2068290
8001,Q924503
8010,Q2068280
8028,Q2065084
8036,Q504755
8044,Q1876128
8052,Q2066188
8060,Q661607
8079,Q2012733
8087,Q1941672
8095,Q1875142
8109,Q2066074
8117,Q2068225
8125,Q2089748
8133,Q1008300
8141,Q2013023
8150,Q927111
8168,Q2065202
8176,Q2105837
8184,Q2012967
8192,Q2068220
8206,Q2065314
8214,Q2103736
8222,Q2012500
8230,Q2068240
8249,Q665255
8257,Q2012532
8265,Q1977781
8273,Q2012544
8281,Q2012495
8290,Q1116758
8303,Q742676
8311,Q2012513
8320,Q2105216
8338,Q2089741
8346,Q1966884
8354,Q2066198
8362,Q1907710
8370,Q2103583
8389,Q2065266
8397,Q2012463
8400,Q693685
8419,Q301700
8427,Q1947813
8435,Q2020346
8443,Q744797
8451,Q568168
8460,Q2064663
8478,Q2066100
8486,Q1904786
8494,Q628172
8508,Q1967899
8516,Q2064709
8524,Q1909011
8532,Q2261140
8540,Q2065244
8559,Q2013043
8567,Q2065285
8575,Q2043365
8583,Q2066033
8591,Q2066090
8605,Q2064492
8613,Q1957216
8621,Q2065169
8630,Q2066111
8656,Q2066022
8672,Q2065093
8699,Q1796449
8710,Q1833985
8737,Q2089300
8753,Q2104834
8770,Q2082418
8796,Q637452
8818,Q2104269
8834,Q2003321
8850,Q960537
8877,Q685271
8893,Q1006367
8915,Q2106358
8931,Q2064949
8958,Q2103762
8974,Q1977528
8990,Q2013052
9016,Q1915115
9032,Q2066051
9059,Q1806571
9075,Q2104116
9091,Q2065297
9113,Q2036695
9130,Q2065066
9156,Q2065076
9172,Q1919029
9199,Q2064621
9210,Q28441
9237,Q2065276
9253,Q2065231
9270,Q2095193
9296,Q2099666
9318,Q1873577
9334,Q2307499
9350,Q1008188
9377,Q1017101
9393,Q1957192
9415,Q634717
9431,Q2012483
9458,Q2064632
9474,Q1019640
9490,Q2106072
9512,Q2065110
9539,Q1120902
9555,Q2279959
9571,Q2469099
9598,Q2064653
9610,Q1763534
9636,Q2068863
9652,Q2064642
9679,Q2036277
9695,Q2066162
9717,Q1806488
10006,Q2329749
10014,Q1936312
10022,Q633346
10030,Q578114
10049,Q2049334
10057,Q636564
10065,Q2063977
10073,Q22060469
10081,Q2089257
10090,Q22059801
10103,Q1999799
10111,Q1892127
10120,Q1938976
10138,Q1938748
10146,Q2064592
10154,Q2064181
10162,Q2078429
10170,Q1940548
10189,Q2077715
10197,Q2064170
10200,Q2064280
10219,Q1809642
10227,Q2066010
10235,Q808836
10243,Q2078647
10251,Q618000
10260,Q1936286
10278,Q2064159
10286,Q2064385
10294,Q2012017
10308,Q1991909
10316,Q1981008
10324,Q2077708
10332,Q769524
10340,Q2064717
10359,Q2097681
10367,Q1878529
10375,Q891715
10383,Q1940449
10391,Q2064004
10405,Q1937308
10413,Q1938871
10421,Q1938832
10430,Q2105005
10448,Q2077726
10456,Q2079682
10464,Q2065835
10472,Q2089202
10480,Q1938905
10499,Q2104975
10502,Q2078851
10510,Q2078710
10529,Q2105469
10537,Q511764
10545,Q2095087
10553,Q256489
10561,Q518321
10570,Q2662106
10588,Q2078860
10596,Q1122557
10600,Q1938757
10618,Q1940564
10626,Q378812
10634,Q655584
10642,Q2089172
10650,Q1851653
10669,Q1838960
10677,Q2064417
10685,Q2089195
10693,Q2078352
10707,Q636789
10715,Q2064194
10723,Q2064482
10731,Q2009973
10740,Q1938765
10758,Q1937384
10766,Q2065020
10774,Q2008644
10782,Q1852620
10790,Q2077745
10804,Q1969397
10812,Q1938945
10820,Q2078225
10839,Q2078798
10847,Q1941164
10855,Q2064409
10863,Q1114540
10871,Q677076
10880,Q2098784
10898,Q2104157
10901,Q2169201
10910,Q1938815
10928,Q963907
10936,Q2104143
10944,Q2065325
10952,Q2042128
10960,Q2103222
10979,Q1935791
10987,Q2064021
10995,Q662237
11010,Q2079025
11037,Q953959
11053,Q2089161
11070,Q961001
11088,Q2064374
11096,Q2078167
11118,Q1938802
11134,Q2064046
11150,Q1924294
11177,Q2064262
11193,Q1938857
11215,Q1894372
11231,Q677160
11258,Q2078472
11274,Q1935712
11290,Q2060311
11312,Q1938896
11339,Q939833
11355,Q2104808
11371,Q2077697
11398,Q2077764
11410,Q1937344
11436,Q2066171
11452,Q2078986
11479,Q1936298
11495,Q2064013
11517,Q2089339
11533,Q1643864
11550,Q2064687
11576,Q1934329
11592,Q1810825
11614,Q2077685
11630,Q2089220
11657,Q2063996
11673,Q996763
11690,Q2113232
11711,Q2042707
11738,Q1848362
11754,Q1879913
11770,Q2064254
11797,Q629855
11819,Q1937333
11835,Q2340263
11851,Q1938964
11878,Q659267
11894,Q952549
11916,Q2078371
11932,Q1899910
11959,Q2005540
11975,Q2099643
11991,Q1937319
12009,Q2064127
12017,Q769359
12025,Q1938932
12033,Q2066044
12041,Q1977122
12050,Q1987363
12068,Q2078343
12076,Q2078456
12084,Q1940535
12092,Q2077678
12106,Q2078771
12114,Q1935702
12122,Q2064331
12130,Q2089169
12149,Q2078789
12157,Q1943081
12165,Q2064398
12173,Q2065179
12181,Q1936263
12190,Q165341
12203,Q369466
12211,Q2101441
12220,Q1853146
12238,Q22059606
12246,Q1938844
12254,Q22059605
12262,Q519387
12270,Q22059603
12289,Q2089236
12297,Q2079658
12300,Q1936273
12319,Q2064226
12327,Q2066143
12335,Q1811039
12343,Q2064526
12351,Q2064600
12360,Q2078362
12378,Q2064534
12386,Q762804
12394,Q2079666
12408,Q2078313
12416,Q2078842
12424,Q1938883
12432,Q2064145
12440,Q2064030
12459,Q2064135
12467,Q1940480
12475,Q2078394
12483,Q1940465
12491,Q1938919
12505,Q979443
12513,Q2066083
12521,Q2065348
12530,Q1935687
12548,Q1979610
12556,Q2064975
12564,Q1935648
12572,Q2064154
12580,Q1871203
12599,Q1935805
12602,Q521452
12610,Q1940505
12629,Q1935674
12637,Q1935819
12653,Q1984524
12661,Q1935660
12670,Q2064040
12688,Q1938789
12696,Q1940520
12700,Q2079673
12718,Q1933647
12726,Q10335889
12734,Q2095297
13005,Q1367980
13013,Q1796441
13021,Q1963649
13030,Q1796706
13048,Q2027682
13056,Q544694
13064,Q2089608
13072,Q641440
13080,Q1814522
13099,Q2027670
13102,Q2026870
13110,Q2021103
13129,Q2013899
13137,Q2021254
13145,Q1808379
13153,Q2021007
13161,Q22059571
13170,Q2028851
13188,Q22059559
13196,Q1794121
13200,Q2021415
13218,Q1754397
13226,Q2027112
13234,Q2289917
13242,Q2028404
13250,Q2021237
13269,Q2028629
13277,Q2013968
13285,Q948079
13293,Q952686
13307,Q2028371
13315,Q1808367
13323,Q2039497
13331,Q2289941
13340,Q2028044
13358,Q1808481
13366,Q1900852
13374,Q602143
13382,Q1945041
13390,Q2028645
13404,Q2020987
13412,Q2021082
13420,Q2020998
13439,Q2028035
13447,Q22059575
13455,Q2021089
13463,Q2047506
13471,Q1808337
13480,Q2013483
13498,Q2027070
13501,Q2021064
13510,Q1807057
13536,Q1811948
13552,Q1008278
13579,Q2021203
13595,Q2027136
13617,Q2021245
13633,Q2028263
13650,Q1811382
13676,Q2028395
13692,Q787864
13714,Q22059576
13730,Q817233
13757,Q2027857
13773,Q2028829
13811,Q2027322
13838,Q2021123
13854,Q1004897
13870,Q2021026
13897,Q43463
13919,Q2027699
13935,Q2021224
13951,Q2028672
13978,Q2026909
13994,Q2028083
14010,Q2027331
14036,Q1761441
14052,Q2347636
14060,Q2027727
14079,Q2028027
14095,Q1807902
14117,Q931326
14133,Q284334
14150,Q1807006
14176,Q2026922
14192,Q952731
14214,Q2130759
14230,Q2028660
14257,Q2006999
14273,Q2021022
