qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:598:3:10101,10101,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,1603:45:16:598:3:10101,Balimo Urban LLG,PG010101,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10102,10102,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,1603:45:16:598:3:10102,Bamu Rural LLG,PG010102,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10103,10103,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,1603:45:16:598:3:10103,Gogodala Rural LLG,PG010103,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10104,10104,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,1603:45:16:598:3:10104,Lake Murray Rural LLG,PG010104,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10105,10105,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,1603:45:16:598:3:10105,Nomad Rural LLG,PG010105,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10206,10206,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,1603:45:16:598:3:10206,Kiunga Rural LLG,PG010206,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10207,10207,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,1603:45:16:598:3:10207,Kiunga Urban LLG,PG010207,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10208,10208,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,1603:45:16:598:3:10208,Ningerum Rural LLG,PG010208,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10209,10209,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,1603:45:16:598:3:10209,Olsobip Rural LLG,PG010209,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10210,10210,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,1603:45:16:598:3:10210,Star Mountains Rural LLG,PG010210,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10311,10311,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:103,1603:45:16:598:3:10311,Daru Urban LLG,PG010311,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10312,10312,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:103,1603:45:16:598:3:10312,Kiwai Rural LLG,PG010312,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10313,10313,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:103,1603:45:16:598:3:10313,Morehead Rural LLG,PG010313,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:10314,10314,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:103,1603:45:16:598:3:10314,Oriomo-Bituri Rural LLG,PG010314,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20101,20101,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20101,Central Kerema Rural LLG,PG020101,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20102,20102,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20102,East Kerema Rural LLG,PG020102,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20103,20103,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20103,Kaintiba Rural LLG,PG020103,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20104,20104,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20104,Kerema Urban LLG,PG020104,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20105,20105,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20105,Kotidanga Rural LLG,PG020105,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20106,20106,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,1603:45:16:598:3:20106,Lakekamu-Tauri Rural LLG,PG020106,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20207,20207,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:202,1603:45:16:598:3:20207,Baimuru Rural LLG,PG020207,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20208,20208,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:202,1603:45:16:598:3:20208,East Kikori Rural LLG,PG020208,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20209,20209,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:202,1603:45:16:598:3:20209,Ihu Rural LLG,PG020209,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:20210,20210,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:202,1603:45:16:598:3:20210,West Kikori Rural LLG,PG020210,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30101,30101,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:301,1603:45:16:598:3:30101,Amazon Bay Rural LLG,PG030101,Abau District,PG0301,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30102,30102,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:301,1603:45:16:598:3:30102,Aroma Rural LLG,PG030102,Abau District,PG0301,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30103,30103,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:301,1603:45:16:598:3:30103,Cloudy Bay Rural LLG,PG030103,Abau District,PG0301,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30204,30204,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:302,1603:45:16:598:3:30204,Guari Rural LLG,PG030204,Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30205,30205,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:302,1603:45:16:598:3:30205,Tapini Rural LLG,PG030205,Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30206,30206,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:302,1603:45:16:598:3:30206,Woitape Rural LLG,PG030206,Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30307,30307,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:303,1603:45:16:598:3:30307,Hiri Rural LLG,PG030307,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30308,30308,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:303,1603:45:16:598:3:30308,Kairuku Rural LLG,PG030308,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30309,30309,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:303,1603:45:16:598:3:30309,Koiari Rural LLG,PG030309,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30310,30310,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:303,1603:45:16:598:3:30310,Mekeo Kuni Rural LLG,PG030310,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30411,30411,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:304,1603:45:16:598:3:30411,Rigo Central Rural LLG,PG030411,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30412,30412,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:304,1603:45:16:598:3:30412,Rigo Coastal Rural LLG,PG030412,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:30413,30413,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:304,1603:45:16:598:3:30413,Rigo Inland Rural LLG,PG030413,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:40101,40101,1603:45:16:598:0,1603:45:16:598:1:4,1603:45:16:598:2:401,1603:45:16:598:3:40101,National Capital District,PG040101,National Capital District,PG0401,National Capital District,PG04,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50101,50101,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50101,Makamaka Rural LLG,PG050101,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50102,50102,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50102,Daga Rural LLG,PG050102,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50103,50103,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50103,Weraura Rural LLG,PG050103,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50104,50104,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50104,Maramatana Rural LLG,PG050104,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50105,50105,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50105,Huhu Rural LLG,PG050105,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50106,50106,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50106,Suau Rural LLG,PG050106,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50107,50107,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:501,1603:45:16:598:3:50107,Alotau Urban LLG,PG050107,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50208,50208,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:502,1603:45:16:598:3:50208,Bwanabwana Rural LLG,PG050208,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50209,50209,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:502,1603:45:16:598:3:50209,Louisiade Rural LLG,PG050209,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50210,50210,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:502,1603:45:16:598:3:50210,Yaleyemba Rural LLG,PG050210,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50211,50211,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:502,1603:45:16:598:3:50211,Murua Rural LLG,PG050211,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50312,50312,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:503,1603:45:16:598:3:50312,Kiriwina Rural LLG,PG050312,Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50313,50313,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:503,1603:45:16:598:3:50313,Goodenough Island LLG,PG050313,Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50414,50414,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:504,1603:45:16:598:3:50414,West Ferguson Rural LLG,PG050414,Esa'ala District,PG0504,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50415,50415,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:504,1603:45:16:598:3:50415,Dobu Rural LLG,PG050415,Esa'ala District,PG0504,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:50416,50416,1603:45:16:598:0,1603:45:16:598:1:5,1603:45:16:598:2:504,1603:45:16:598:3:50416,Duau Rural LLG,PG050416,Esa'ala District,PG0504,Milne Bay Province,PG05,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:3:60101,60101,1603:45:16:598:0,1603:45:16:598:1:6,1603:45:16:598:2:601,1603:45:16:598:3:60101,Oro Bay Rural LLG,PG060101,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,2019-05-10,2019-05-10,
