qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:466:3:10101,10101,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10101,Bafoulabe,ML010101,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10102,10102,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10102,Bamafélé,ML010102,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10103,10103,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10103,Diakon,ML010103,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10104,10104,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10104,Diallan,ML010104,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10105,10105,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10105,Diokeli,ML010105,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10106,10106,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10106,Gounfan,ML010106,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10107,10107,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10107,Kontéla,ML010107,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10108,10108,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10108,Koundian,ML010108,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10109,10109,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10109,Mahina,ML010109,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10110,10110,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10110,Niambia,ML010110,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
